ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_médian	integres_rg_moyen	places
Concours Commun Polytechnique PT	2354	13.3	19.9	1451	11.1	25.0	1322	10.9	23.7	176					185	
ENSIM_Le_Mans										2	0.0	50.0	1013	1013	2	
ESGT_le_Mans										0	0.0	0.0	0	0	5	
ESI_Reims										0	0.0	0.0	0	0	3	
ESIPE_Créteil_-_Génie_Biomédical_et_santé_(ISBS)										1	0.0	0.0	1239	1239	1	
ESIPE_Créteil_-_Système_d'information										1	0.0	0.0	1208	1208	1	
ESIPE_Créteil_-_Technologie_pour_la_santé										0	0.0	0.0	0	0	1	
ESIR_Rennes										0	0.0	0.0	0	0	4	
ESIROI_Saint_Denis_de_La_Réunion										0	0.0	0.0	0	0	1	
ESIX_Normandie_-_Caen_-_Cherbourg										1	0.0	0.0	883	883	2	
ISAT_Nevers__-_département__MIT_(Mécanique_et_Ingénierie_des_Transports)										5	20.0	20.0	854	855	7	
ISAT_Nevers__-_département_EPEE_(Energies_et_Moteurs)										3	0.0	0.0	660	642	3	
ISAT_Nevers__-_Infrastructures_et_Réseaux_de_Transports										4	0.0	25.0	1083	1084	5	
ISIFC_BesanÃ§on_-_Génie_Biomédical										2	50.0	50.0	818	818	2	
ISIS_Castres										1	0.0	0.0	1016	1016	2	
ISTY_Vélizy										1	0.0	0.0	1244	1244	1	
Polytech_Annecy-Chambéry_-__Environnement,_Bâtiment,_Ã‰nergie										5	0.0	0.0	915	796	4	
Polytech_Annecy-Chambéry_-__Informatique_données_Usages										1	0.0	0.0	1148	1148	3	
Polytech_Annecy-Chambéry_-__Instrumentation,_Automatique,_Informatique										2	0.0	0.0	1024	1024	3	
Polytech_Annecy-Chambéry_-_Mécanique,_Matériaux										3	0.0	0.0	839	791	3	
Polytech_Clermont-Ferrand__-_Génie_Civil										3	33.3	33.3	821	843	3	
Polytech_Clermont-Ferrand__-_Génie_Electrique										4	0.0	50.0	1175	1135	4	
Polytech_Clermont-Ferrand__-_Génie_Physique										0	0.0	0.0	0	0	3	
Polytech_Grenoble__-__Géotechnique_et_génie_civil										3	0.0	33.3	784	754	3	
Polytech_Grenoble__-_Informatique_et_électronique_des_systèmes_embarqués										3	0.0	0.0	766	814	3	
Polytech_Lille__-_Informatique,_Microélectronique,_Automatique										3	0.0	33.3	852	813	3	
Polytech_Lille__-_Mécanique										7	14.3	0.0	805	845	7	
Polytech_Lyon__-_Systèmes_industriels,_Robotique										1	0.0	0.0	663	663	2	
Polytech_Marseille__-_Génie_Civil										5	20.0	20.0	1022	996	6	
Polytech_Marseille__-_Génie_Industriel_et_Informatique										3	0.0	33.3	1095	1104	3	
Polytech_Marseille__-_Mécanique,_Energétique										9	0.0	33.3	1044	989	8	
Polytech_Marseille__-_Microélectronique,Télécommunications										1	0.0	0.0	1164	1164	3	
Polytech_Montpellier_-_Mécanique_et_Interactions										3	0.0	0.0	710	678	2	
Polytech_Nancy_-_Energie,_Mécanique,_Matériaux,_Environnement										6	33.3	33.3	1115	1007	4	
Polytech_Nancy_-_Ingénierie_de_l'Information_et_des_Systèmes										0	0.0	0.0	0	0	2	
Polytech_Nancy_-_Management_opérationnel,_Maintenance,_MaÃ®trise_des_risques										0	0.0	0.0	0	0	2	
Polytech_Nantes__-_Ã‰lectronique_et_technologies_numériques										4	0.0	50.0	1064	1067	3	
Polytech_Nantes__-_Ã‰nergie_électrique										3	0.0	33.3	978	991	2	
Polytech_Nantes__-_Génie_civil										2	50.0	0.0	745	745	3	
Polytech_Nantes__-_Informatique										3	0.0	0.0	649	678	3	
Polytech_Nantes__-_Thermique,_Ã‰nergétique										5	0.0	60.0	562	626	3	
Polytech_Nice-Sophia__-_Ã‰lectronique										3	0.0	33.3	1025	985	3	
Polytech_Nice-Sophia__-_Génie_de_l'eau										1	100.0	0.0	1156	1156	4	
Polytech_Nice-Sophia__-_Informatique										5	0.0	20.0	982	821	3	
Polytech_Orléans__-_Génie_civil_et_géo-environnement										5	40.0	60.0	1107	1022	4	
Polytech_Orléans__-_Génie_industriel										1	0.0	0.0	1224	1224	6	
Polytech_Orléans__-_Innovation_en_Conception_et_Matériaux										3	0.0	0.0	1193	1034	6	
Polytech_Orléans__-_Technologies_pour_l'Ã‰nergie,_l'Aérospatial_et_la_Motorisation										4	0.0	25.0	822	716	4	
Polytech_Orléans_-_Génie_physique_et_systèmes_embarqués										3	0.0	33.3	1071	1049	3	
Polytech_Sorbonne_-_Electronique_et_Informatique										1	0.0	0.0	1003	1003	2	
Polytech_Sorbonne_-_Robotique										2	0.0	50.0	866	866	3	
Polytech_Tours_-_Génie_de_l'aménagement_et_de_l'environnement										4	50.0	25.0	1216	1145	4	
Polytech_Tours_-_Mécanique,_Conception_de_systèmes										7	14.3	14.3	1093	1121	4	
Sup_Galilée__Villetaneuse										3	0.0	33.3	1166	1182	5	
Concours POLYTECH	1943	14.1	21.5	1430	12.3	23.8	1246	11.7	25.0	142					176	
ECE_PARIS	570	14.7	20.2	505	14.7	21.4	176	19.3	18.8	14	14.3	14.3	124	120	20	
ECOLE_DE_L'AIR_Base	369	11.4	23.3	90	6.7	27.8	3	0.0	33.3	1	0.0	0.0	3	3	1	
ECOLE_DE_L'AIR_Méca	377	11.9	24.1	90	5.6	27.8	3	0.0	33.3	0	0.0	0.0	0	0	0	
ECOLE_DE_L'AIR_Pilote	397	11.1	24.2	103	5.8	28.2	4	0.0	25.0	1	0.0	0.0	1	1	1	
IMT_Lille_Douai_en_Partenariat_ISPA	265	18.5	20.0	179	16.8	23.5	22	31.8	18.2	7	42.9	28.6	12	12	10	
EFREI_Paris	510	12.2	16.7	471	11.9	17.2	102	14.7	4.9	12	8.3	0.0	63	55	30	
