concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
Concours Mines - Télécom	Ensta Bretagne (Filière Sous Statut Étudiant)										22	36.4	22.7	728	719	21
Concours Mines - Télécom	Imt Lille Douai										57	43.9	21.1	1431	1376	52
Concours Mines - Télécom	Mines Saint Etienne-Ismin										14	28.6	21.4	1295	1253	12
Concours Mines - Télécom	Télécom Physique Strasbourg Informatique Et Réseaux										6	33.3	0.0	1771	1595	8
Concours Mines - Télécom	Télécom Physique Strasbourg Ti-Santé										7	57.1	0.0	1724	1648	8
Concours Mines - Télécom	Telecom Sudparis										31	32.3	32.3	891	859	30
Concours Mines - Télécom	Telecom Sudparis - Cursus Sophia-Antipolis										0	0.0	0.0	0	0	3
Concours Mines - Télécom	Concours_Mines_Télécom_Pc	3680	35.1	22.4				2024	35.1	23.1	245					241
Concours Mines - Télécom	Ensta Bretagne (Filière Sous Statut Ieta - Direction Générale De L'Armement)	3680	35.1	22.4				1778	34.5	25.3	8	25.0	75.0	639	630	8
Concours Mines - Télécom	Ensg-Géomatique Marne La Vallée Civil										5	40.0	40.0	2413	2336	6
Concours Mines - Télécom	Ensg Nancy										8	50.0	0.0	1364	1369	10
Concours Mines - Télécom	Enssat Lannion										14	35.7	14.3	2302	2278	14
Concours Mines - Télécom	Telecom Nancy										7	42.9	14.3	1697	1518	5
Concours Mines - Télécom	Telecom St Etienne - Statut Étudiant										16	37.5	12.5	1947	1900	11
Concours Mines - Télécom	Concours_Mines_Télécom_Spécifique_Pc	3680	35.1	22.4				2760	36.2	22.8	50					46
Concours Commun Tpe	Entpe Lyon Civil										22	50.0	22.7	1045	1029	21
Concours Commun Tpe	Entpe Lyon Fonctionnaire										29	31.0	48.3	915	904	29
Concours Commun Tpe	Concours_Tpe_Candidats_Franã§Ais_Et_De_L'Union_Européenne_Filière_Pc	2104	35.9	24.6				1265	35.6	25.4	51					50
Concours Commun Tpe	Entpe Lyon Etranger	2104	35.9	24.6				29	37.9	13.8	0	0.0	0.0	0	0	1
Concours Commun Tpe	Eivp Paris Civil	2104	35.9	24.6				1437	36.2	25.2	26	46.2	26.9	1262	1221	20
Concours Commun Tpe	Eivp Paris Fonctionnaire	2104	35.9	24.6				1405	36.2	25.4	4	50.0	50.0	873	874	4
Concours Commun Tpe	Imt Lille Douai Fonct.	2104	35.9	24.6				1265	35.6	25.4	2	50.0	0.0	585	585	2
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Bordeaux Inp - Ensc Cognitique										9	44.4	11.1	2293	2053	6
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Bordeaux Inp - Enseirb-Matmeca Electronique										20	15.0	25.0	2191	2149	13
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Bordeaux Inp - Enseirb-Matmeca Informatique										6	16.7	50.0	1572	1482	5
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Bordeaux Inp - Enseirb-Matmeca Mathématiques Et Mécanique										11	36.4	54.5	1725	1534	6
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Bordeaux Inp - Enseirb-Matmeca Télecom.										14	21.4	21.4	2050	2036	8
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Cpe Lyon Sciences Du Numérique										12	8.3	16.7	3005	2948	12
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Eisti Cergy - Pau										46	23.9	21.7	3255	3083	30
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Enac Toulouse Civil										23	17.4	30.4	983	928	20
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Enac Toulouse Fonctionnaire										3	0.0	66.7	153	147	3
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Engees Strasbourg Civil (Apprenti)										3	66.7	66.7	2746	2746	2
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Engees Strasbourg Civil (Étudiant)										13	46.2	23.1	2043	2067	10
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Engees Strasbourg Fonctionnaire										3	66.7	33.3	1006	846	3
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Ensgti Pau - Génie Des Procédés										13	61.5	23.1	3185	3024	15
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Ensi Poitiers Energie										13	30.8	30.8	2821	2758	17
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Ensicaen Electronique Et Physique Appliquée										19	15.8	42.1	2760	2674	18
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Ensicaen Informatique										8	0.0	50.0	2223	2189	8
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Ensmm Besanã§On										19	31.6	36.8	2659	2610	22
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Grenoble Inp - Ense3										54	24.1	24.1	1481	1427	60
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Grenoble Inp - Pagora										21	52.4	23.8	2951	2794	18
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Grenoble Inp - Phelma (Physique Electronique Télécoms)										31	25.8	29.0	1269	1190	34
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Grenoble Inp - Phelma (Physique Matériaux Procédés)										58	37.9	27.6	960	893	65
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Grenoble Inp - Ensimag										10	50.0	40.0	631	564	10
