concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_médian	integres_rg_moyen	places
concours_commun_inp	isima_clermont_ferrand										7	14.3	14.3	1188	1076	5	
concours_commun_inp	lorraine_inp_ensem_energie										7	0.0	14.3	1206	1128	6	
concours_commun_inp	seatech_toulon										8	25.0	0.0	1163	1162	9	
concours_commun_inp	sigma_clermont_ferrand_spécialité_mécanique_avancée										57	15.8	15.8	1187	1155	68	
concours_commun_inp	isae_supméca_paris										12	8.3	25.0	913	833	12	
concours_commun_inp	toulouse_inp_enseeiht_electronique_energie_automatique_(eea)										4	0.0	25.0	456	406	4	
concours_commun_inp	toulouse_inp_enseeiht_mécanique_des_fluides_energetique_environnement_(mfee)										2	0.0	0.0	236	236	2	
concours_commun_inp	toulouse_inp_enseeiht_sciences_du_numérique										4	0.0	25.0	410	381	4	
concours_commun_inp	Concours CCINP PT	2263	15.4	15.2	1528	14.2	17.5	1435	14.2	16.7	250					247	
concours_polytech	ensibs										2	0.0	50.0	1208	1208	8	
concours_polytech	ensim_le_mans										4	0.0	0.0	846	904	5	
concours_polytech	episen_génie_biomédical_et_santé_(isbs)										0	0.0	0.0	0	0	1	
concours_polytech	episen_système_d'information										0	0.0	0.0	0	0	1	
concours_polytech	episen_technologie_pour_la_santé										0	0.0	0.0	0	0	1	
concours_polytech	esgt_le_mans										3	0.0	33.3	1122	1053	5	
concours_polytech	esir_rennes_matériaux										0	0.0	0.0	0	0	1	
concours_polytech	esiroi_saint_denis_de_la_réunion										0	0.0	0.0	0	0	2	
concours_polytech	esix_cherbourg_gsi										0	0.0	0.0	0	0	2	
concours_polytech	esix_caen_mécatronique_et_systèmes_embarqués										2	0.0	0.0	1068	1068	2	
concours_polytech	isat_nevers_département_mit_(mécanique_et_ingénierie_des_transports)										2	0.0	0.0	789	789	2	
concours_polytech	isat_nevers_département_epee_(energies_et_moteurs)										2	0.0	50.0	584	584	2	
concours_polytech	isat_nevers_infrastructures_et_réseaux_de_transports										2	0.0	0.0	1281	1281	3	
concours_polytech	isifc_besanã§on_génie_biomédical										2	0.0	0.0	812	812	2	
concours_polytech	isty_vélizy										0	0.0	0.0	0	0	2	
concours_polytech	polytech_annecy_chambéry_bâtiment_eco_construction_energie										4	50.0	25.0	1154	1113	4	
concours_polytech	polytech_annecy_chambéry_informatique_données_usages										2	0.0	0.0	1223	1223	3	
concours_polytech	polytech_annecy_chambéry_mécanique_mécatronique_matériaux_composites										2	0.0	0.0	1202	1202	3	
concours_polytech	polytech_annecy_chambéry_systèmes_numériques_â€“_instrumentation										0	0.0	0.0	0	0	3	
concours_polytech	polytech_clermont_ferrand_génie_civil										2	0.0	0.0	912	912	3	
concours_polytech	polytech_clermont_ferrand_génie_electrique										1	0.0	0.0	1252	1252	4	
concours_polytech	polytech_clermont_ferrand_génie_physique										3	33.3	0.0	1136	1144	3	
concours_polytech	polytech_grenoble__géotechnique_et_génie_civil										4	0.0	0.0	1173	1090	3	
concours_polytech	polytech_grenoble_informatique_et_électronique_des_systèmes_embarqués										3	0.0	0.0	1044	950	3	
concours_polytech	polytech_lille_mécanique										7	14.3	14.3	1034	975	7	
concours_polytech	polytech_lille_systèmes_embarqués										6	0.0	0.0	1140	1112	4	
concours_polytech	polytech_lyon_systèmes_industriels,_robotique										2	0.0	0.0	754	754	2	
concours_polytech	polytech_marseille_génie_civil										4	50.0	0.0	915	977	6	
concours_polytech	polytech_marseille_génie_industriel_et_informatique										2	0.0	0.0	896	896	3	
concours_polytech	polytech_marseille_mécanique,_energétique										5	0.0	20.0	1254	1148	4	
concours_polytech	polytech_marseille_microélectronique,télécommunications										2	0.0	0.0	1204	1204	2	
concours_polytech	polytech_montpellier_mécanique_et_interactions										1	0.0	0.0	973	973	2	
concours_polytech	polytech_nancy_energie,_mécanique,_matériaux,_environnement										2	0.0	0.0	992	992	4	
concours_polytech	polytech_nancy_management_opérationnel,_maintenance,_maã®trise_des_risques										1	100.0	0.0	1146	1146	2	
concours_polytech	polytech_nancy_informatique,_automatique,_robotique,_réseaux										2	0.0	0.0	893	893	2	
concours_polytech	polytech_nantes_ã‰lectronique_et_technologies_numériques										4	0.0	0.0	1092	1126	4	
concours_polytech	polytech_nantes_ã‰nergie_électrique										0	0.0	0.0	0	0	1	
concours_polytech	polytech_nantes_génie_civil										3	33.3	0.0	1045	1091	5	
concours_polytech	polytech_nantes_informatique										3	0.0	0.0	1081	1133	3	
concours_polytech	polytech_nantes_thermique,_ã‰nergétique										2	50.0	0.0	1071	1071	4	
concours_polytech	polytech_nice_sophia_ã‰lectronique										2	50.0	50.0	1093	1093	3	
concours_polytech	polytech_nice_sophia_génie_de_l'eau										4	25.0	25.0	1124	1026	4	
concours_polytech	polytech_nice_sophia_informatique										4	0.0	75.0	696	754	4	
concours_polytech	polytech_orléans_génie_civil_et_géo_environnement										2	50.0	0.0	898	898	4	
concours_polytech	polytech_orléans_génie_industriel										2	0.0	0.0	1175	1175	2	
concours_polytech	polytech_orléans_génie_physique_et_systèmes_embarqués										0	0.0	0.0	0	0	5	
concours_polytech	polytech_orléans_innovation_en_conception_et_matériaux										3	33.3	33.3	1243	1231	5	
concours_polytech	polytech_orléans_technologies_pour_l'ã‰nergie,_l'aérospatial_et_la_motorisation										4	0.0	25.0	806	819	3	
concours_polytech	polytech_sorbonne_electronique_et_informatique										2	0.0	0.0	930	930	2	
concours_polytech	polytech_sorbonne_robotique										3	0.0	0.0	691	710	3	
concours_polytech	polytech_tours_génie_de_l'aménagement_et_de_l'environnement										2	0.0	0.0	293	293	4	
concours_polytech	polytech_tours_mécanique,_conception_de_systèmes										4	0.0	25.0	1217	1200	4	
concours_polytech	sup_galilée_villetaneuse										2	0.0	0.0	1234	1234	4	
concours_polytech	Concours POLYTECH PT	1975	15.8	15.7	1456	14.4	15.9	1301	15.0	16.1	120					170	
autres_ecoles	ecole_de_l'air_base				0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	
autres_ecoles	ecole_de_l'air_méca	294	13.9	11.2	70	8.6	18.6	4	25.0	25.0	0	0.0	0.0	0	0	2	
autres_ecoles	ecole_de_l'air_pilote				0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	
autres_ecoles	eil_cã´te_d'opale_calais_(informatique)										3	66.7	33.3	56	57	10	
autres_ecoles	eil_cã´te_d'opale_dunkerque_(génie_energétique_et_environnement)										4	25.0	50.0	59	57	6	
autres_ecoles	eil_cã´te_d'opale_longuenesse_(génie_industriel)										4	50.0	0.0	73	72	20	
autres_ecoles	Concours EIL CÃ´te d'Opale Longuenesse - Calais - Dunkerque PT	323	21.4	18.6	271	22.1	18.5	81	25.9	22.2	11					36	
autres_ecoles	ensait_roubaix	378	22.8	19.3	236	23.3	23.3	47	29.8	21.3	10	50.0	10.0	37	36	10	
autres_ecoles	ensil_ensci_limoges_mécatronique	340	21.2	16.2	205	24.9	15.6	205	24.9	15.6	2	0.0	100.0	142	142	4	
autres_ecoles	ensisa_mulhouse_automatique_et_systèmes_embarqués										5	0.0	20.0	60	55	6	
autres_ecoles	ensisa_mulhouse_informatique_et_réseaux										5	0.0	0.0	34	32	6	
autres_ecoles	ensisa_mulhouse_mécanique										1	100.0	0.0	47	47	9	
autres_ecoles	ensisa_mulhouse_textile_et_fibres										3	66.7	0.0	42	42	4	
autres_ecoles	Concours ENSISA PT	478	20.3	16.9	306	22.5	19.3	66	27.3	19.7	14					25	
autres_ecoles	ensm_site_de_nantes	296	20.9	15.5	180	26.1	17.8	22	40.9	18.2	7	57.1	0.0	12	11	20	
autres_ecoles	esb_nantes	212	18.9	14.6	100	24.0	18.0	14	21.4	21.4	2	0.0	50.0	4	4	10	
autres_ecoles	esff_sèvres	281	16.7	17.1	218	17.9	16.5	28	21.4	17.9	5	40.0	0.0	8	8	11	
autres_ecoles	estia_bidart	483	16.1	16.8	404	16.6	15.6	109	22.9	14.7	22	13.6	13.6	68	66	32	
autres_ecoles	estp_paris_bâtiment_(b)_campus_de_cachan										9	11.1	22.2	226	227	9	
autres_ecoles	estp_paris_bâtiment_(b)_campus_de_troyes										18	11.1	11.1	396	385	20	
autres_ecoles	estp_paris_génie_mécanique_et_electrique(gme)										22	9.1	27.3	393	378	24	
autres_ecoles	estp_paris_topographie_(t)										4	0.0	25.0	437	436	10	
autres_ecoles	estp_paris_travaux_publics_(tp)_campus_de_cachan										9	22.2	22.2	230	213	10	
autres_ecoles	estp_paris_travaux_publics_(tp)_campus_de_dijon										14	21.4	14.3	326	331	14	
autres_ecoles	Concours ESTP PT	664	18.5	17.3	517	18.4	18.4	476	18.7	17.4	76					87	
autres_ecoles	grenoble_inp_génie_industriel	742	18.3	17.9	281	15.7	23.1	109	16.5	23.9	13	23.1	15.4	84	73	12	
autres_ecoles	imt_lille_douai_en_partenariat_ispa	388	18.3	19.1	270	19.6	21.1	24	33.3	16.7	5	20.0	20.0	9	7	25	
autres_ecoles	ismans_groupe_cesi_le_mans	303	18.8	15.5	240	21.2	14.6	39	15.4	15.4	6	0.0	0.0	22	22	10	
autres_ecoles	lorraine_inp_enstib	316	19.3	16.5	217	23.0	15.7	48	25.0	12.5	15	40.0	6.7	22	23	15	
autres_ecoles	paoli_tech	284	19.4	16.9	170	20.0	20.0	157	20.4	19.7	1	0.0	100.0	70	70	4	
autres_ecoles	toulouse_inp_enit	502	21.3	18.1	208	22.6	16.8	163	21.5	14.1	4	25.0	25.0	155	154	6	
puissance_alpha	efrei_paris	774	18.1	14.2	680	18.4	14.3	92	20.7	8.7	8	12.5	0.0	63	61	15	
puissance_alpha	elisa_aerospace_bordeaux										0	0.0	0.0	0	0	3	
puissance_alpha	elisa_aerospace_hauts_de_france										0	0.0	0.0	0	0	3	
puissance_alpha	Concours ELISA AEROSPACE PT	774	18.1	14.2	187	17.6	18.2	44	20.5	29.5	0					6	
puissance_alpha	esaip_angers_/_aix_en_provence	774	18.1	14.2	699	18.3	14.2	170	17.6	14.7	3	0.0	0.0	138	139	10	
puissance_alpha	eseo_angers_paris_dijon	774	18.1	14.2	400	16.8	17.5	204	18.1	17.2	1	0.0	0.0	193	193	8	
puissance_alpha	esiee_paris	774	18.1	14.2	598	17.6	15.4	145	18.6	15.9	19	10.5	15.8	118	109	15	
puissance_alpha	hei_lille	774	18.1	14.2	633	17.7	14.5	104	24.0	10.6	6	0.0	33.3	48	55	25	
puissance_alpha	isen_lille	774	18.1	14.2	600	17.5	15.3	40	15.0	12.5	2	0.0	0.0	33	33	8	
puissance_alpha	isen_méditerrannée_nã®mes	774	18.1	14.2	649	18.0	14.6	56	19.6	10.7	3	0.0	0.0	52	52	5	
puissance_alpha	isen_méditerrannée_toulon	774	18.1	14.2	649	18.0	14.6	56	19.6	10.7	2	0.0	0.0	34	34	5	
puissance_alpha	isep_paris	774	18.1	14.2	618	17.5	14.9	90	18.9	16.7	6	0.0	16.7	79	78	5	
puissance_alpha	3il_ingénieurs	774	18.1	14.2	498	17.1	16.9	90	13.3	16.7	1	0.0	0.0	87	87	5	
avenir_prépas	ece_paris_(statut_apprentissage)	1076	17.8	15.1	986	18.1	15.1	281	19.9	10.0	6	16.7	16.7	230	212	6	
avenir_prépas	eigsi_casablanca	1076	17.8	15.1	904	17.1	15.9	221	15.4	19.0	0	0.0	0.0	0	0	5	
avenir_prépas	ece_lyon										11	18.2	0.0	201	193	4	
avenir_prépas	ece_paris										21	14.3	19.0	204	188	20	
avenir_prépas	Concours ECE PT	1076	17.8	15.1	986	18.1	15.1	281	19.9	10.0	32					24	
avenir_prépas	eigsi_la_rochelle	1076	17.8	15.1	904	17.1	15.9	221	15.4	19.0	18	11.1	38.9	193	190	25	
avenir_prépas	epf_campus_sceaux										9	22.2	0.0	419	401	6	
avenir_prépas	epf_campus_troyes										3	0.0	33.3	468	458	6	
avenir_prépas	epf_campus_montpellier										10	60.0	30.0	324	340	6	
avenir_prépas	Concours EPF Sceaux-Troyes-Montpellier PT	1076	17.8	15.1	956	17.5	15.5	475	20.4	16.8	22					18	
avenir_prépas	esigelec_rouen	1076	17.8	15.1	999	17.9	15.2	224	21.0	16.1	11	36.4	0.0	159	154	25	
avenir_prépas	esilv_paris_la_défense	1076	17.8	15.1	897	16.9	16.1	295	15.9	15.9	42	19.0	16.7	179	184	35	
avenir_prépas	esitc_caen	1076	17.8	15.1	496	16.7	18.8	12	33.3	25.0	1	0.0	100.0	4	4	8	
avenir_prépas	estaca_laval_aéronautique_et_spatial										4	0.0	0.0	206	202	2	
avenir_prépas	estaca_laval_automobile										2	50.0	50.0	148	148	2	
avenir_prépas	estaca_paris_saclay_aéronautique_et_spatial										1	0.0	0.0	206	206	2	
avenir_prépas	estaca_paris_saclay_automobile_ou_transports_guidés										3	0.0	0.0	226	219	2	
avenir_prépas	Concours ESTACA PT	1076	17.8	15.1	537	16.9	18.2	279	16.5	19.4	10					8	
fesic	ecam_lyon	802	17.5	14.5	545	17.6	16.9	217	20.3	14.3	28	28.6	7.1	164	163	40	
fesic	ecam_rennes	802	17.5	14.5	722	18.6	15.0	264	18.6	16.3	2	50.0	0.0	255	255	18	
fesic	ecam_strasbourg_europe	802	17.5	14.5	752	18.1	14.6	137	21.2	10.2	37	18.9	5.4	80	82	30	
