concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_médian	integres_rg_moyen	places
concours_ecole_polytechnique	ecole_polytechnique	1201	26.9	21.5	269	22.3	15.6	159	22.6	16.4	132	23.5	15.2	80	78	132	
concours_ecole_polytechnique	espci_paris	1227	29.9	21.4	424	24.5	19.3	375	25.6	18.7	56	32.1	16.1	271	263	55	
concours_ecole_polytechnique	espci_paris_etranger	51	37.3	43.1	21	38.1	61.9	17	41.2	70.6	2	50.0	100.0	7	7	2	
banque_ens	ens_ulm	1098	28.5	25.2	103	18.4	21.4	76	22.4	18.4	18	27.8	22.2	18	20	18	
banque_ens	ens_paris_saclay_pc	1270	28.7	23.4	281	20.3	24.2	171	20.5	24.0	18	11.1	27.8	125	117	18	
banque_ens	ens_de_lyon	1140	28.2	24.2	252	19.0	27.4	161	23.0	23.0	17	23.5	41.2	106	105	17	
banque_centrale_supelec	centralesupélec_statut_étudiant	2511	31.9	19.0	690	27.8	18.4	675	27.9	18.1	185	25.4	18.4	265	258	152	
banque_centrale_supelec	centralesupélec_statut_étudiant_étr.	90	34.4	27.8	25	28.0	48.0	25	28.0	48.0	7	14.3	71.4	13	12	5	
banque_centrale_supelec	centrale_lyon	2784	33.7	19.4	620	27.3	18.5	608	27.1	18.3	65	27.7	21.5	476	470	62	
banque_centrale_supelec	institut_d'optique_graduate_school_(supoptique)	1520	35.9	21.1	695	34.5	22.0	662	34.7	22.1	34	50.0	26.5	534	508	50	
banque_centrale_supelec	institut_d'optique_graduate_school_(supoptique)_étr.	45	48.9	33.3	12	33.3	66.7	12	33.3	66.7	0	0.0	0.0	0	0	2	
banque_centrale_supelec	centrale_lille	2644	34.6	20.2	711	31.5	21.1	702	31.6	20.7	50	40.0	30.0	511	494	50	
banque_centrale_supelec	centrale_nantes	2730	33.8	19.7	510	27.6	19.8	502	27.5	19.3	32	50.0	18.8	470	438	60	
banque_centrale_supelec	centrale_marseille	2849	36.5	18.8	1104	33.7	18.3	1047	34.0	17.4	85	44.7	20.0	829	816	80	
banque_centrale_supelec	centrale_casablanca	427	32.8	24.6	74	27.0	25.7	69	27.5	26.1	0	0.0	0.0	0	0	2	
banque_centrale_supelec	centralesupélec_statut_étudiant_ci										5	20.0	0.0	3	3	5	
banque_centrale_supelec	centrale_lyon__ci										1	100.0	0.0	6	6	1	
banque_centrale_supelec	centrale_lille__ci										0	0.0	0.0	0	0	1	
banque_centrale_supelec	centrale_nantes__ci										5	80.0	0.0	9	9	2	
banque_centrale_supelec	institut_d'optique_graduate_school_(supoptique)_ci										0	0.0	0.0	0	0	2	
banque_centrale_supelec	centrale_marseille_ci										0	0.0	0.0	0	0	2	
banque_centrale_supelec	Concours Cycle International Centrale-Supelec PC	33	63.6	3.0	11	54.5	0.0	11	54.5	0.0	11					13	
banque_centrale_supelec	centrale_casablanca_ci				0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	null	
banque_centrale_supelec	arts_et_métiers	1675	33.2	20.8	798	30.8	23.8	649	32.5	24.5	19	31.6	57.9	420	414	20	
banque_centrale_supelec	ensea_cergy	1675	33.2	20.8	1240	30.7	22.4	960	30.9	23.3	18	11.1	16.7	872	859	30	
banque_centrale_supelec	epf_campus_troyes										0	0.0	0.0	0	0	6	
banque_centrale_supelec	epf_campus_montpellier										5	0.0	40.0	327	329	5	
banque_centrale_supelec	epf_campus_sceaux										8	50.0	25.0	335	334	6	
banque_centrale_supelec	Concours EPF Sceaux-Troyes-Montpellier PC	693	42.6	16.5	518	41.7	17.6	370	44.3	18.4	13					17	
banque_centrale_supelec	estp_paris_travaux_publics_(tp)_campus_de_cachan										39	23.1	10.3	625	584	60	
banque_centrale_supelec	estp_paris_bâtiment_(b)_campus_de_cachan										61	37.7	16.4	555	537	57	
banque_centrale_supelec	estp_paris_génie_mécanique_et_electrique(gme)										9	0.0	22.2	604	578	20	
banque_centrale_supelec	estp_paris_topographie_(t)										1	0.0	100.0	575	575	8	
banque_centrale_supelec	estp_paris_bâtiment_(b)_campus_de_troyes										8	50.0	12.5	647	633	12	
banque_centrale_supelec	estp_paris_travaux_publics_(tp)_campus_de_dijon										3	66.7	0.0	670	607	8	
banque_centrale_supelec	Concours ESTP PC	1151	35.2	19.3	975	35.0	18.6	687	37.4	18.2	121					165	
banque_centrale_supelec	ecole_navale_brest	486	24.1	26.1	155	26.5	34.2	69	18.8	44.9	17	17.6	58.8	44	42	17	
concours_commun_mines_ponts	ensae_paris										9	22.2	11.1	559	527	8	
concours_commun_mines_ponts	ensta_paris										32	28.1	25.0	505	465	38	
concours_commun_mines_ponts	ensta_paris_apprentissage										7	14.3	28.6	689	648	2	
concours_commun_mines_ponts	imt_atlantique										82	30.5	11.0	912	907	85	
concours_commun_mines_ponts	isae_supaero_toulouse										29	24.1	17.2	428	407	35	
concours_commun_mines_ponts	mines_de_nancy										46	28.3	10.9	687	676	40	
concours_commun_mines_ponts	mines_saint_etienne										37	21.6	5.4	859	834	43	
concours_commun_mines_ponts	mines_paris										23	26.1	8.7	102	104	24	
concours_commun_mines_ponts	ponts_paristech										41	48.8	4.9	285	283	40	
concours_commun_mines_ponts	telecom_paris										28	21.4	21.4	437	432	29	
concours_commun_mines_ponts	chimie_paristech										63	52.4	14.3	823	801	62	
concours_commun_mines_ponts	Concours CCMP PC	3494	34.4	18.0	1230	28.4	18.0	1216	28.5	17.7	397					406	
concours_mines_télécom	ecole_meteorologie_(fonctionnaire)	3660	35.7	19.5	2023	33.2	20.5	1920	33.1	20.3	8	37.5	12.5	1632	1461	8	
concours_mines_télécom	ecole_meteorologie_(non_fonctionnaire)	3660	35.7	19.5	2069	33.2	20.8	1963	33.1	20.6	4	75.0	0.0	1857	1836	7	
concours_mines_télécom	eivp_paris_civil	3660	35.7	19.5	2625	34.2	19.8	2270	34.4	20.0	20	55.0	15.0	1890	1840	20	
