concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_médian	integres_rg_moyen	places
banque_centrale_supelec	centrale_marseille	3264	23.9	22.9	1217	22.3	20.8	1120	22.1	20.5	81	33.3	28.4	924	882	80	
banque_centrale_supelec	centrale_casablanca	538	21.0	28.1	121	11.6	26.4	108	11.1	26.9	0	0.0	0.0	0	0	8	
banque_centrale_supelec	centralesupélec_campus_étudiant_ci										24	16.7	29.2	30	26	22	
banque_centrale_supelec	centrale_lyon_ci										8	12.5	37.5	52	51	8	
banque_centrale_supelec	centrale_lille_ci										5	40.0	20.0	67	67	3	
banque_centrale_supelec	centrale_nantes_ci										2	50.0	0.0	59	59	5	
banque_centrale_supelec	institut_d'optique_graduate_school_(supoptique)_ci										8	12.5	25.0	136	128	3	
banque_centrale_supelec	centrale_marseille_ci										1	100.0	0.0	76	76	2	
banque_centrale_supelec	Concours Cycle International Centrale-Supelec MP	857	28.7	15.1	240	21.7	18.8	224	22.3	19.2	48					43	
banque_centrale_supelec	centrale_casablanca_ci	857	28.7	15.1	240	21.7	18.8	224	22.3	19.2	6	50.0	33.3	176	174	30	
banque_centrale_supelec	arts_et_métiers										2	50.0	50.0	86	86	39	
banque_centrale_supelec	arts_et_métiers_ingénieurs_militaires										0	0.0	0.0	0	0	0	
banque_centrale_supelec	arts_et_métiers_voie_de_l'apprentissage										0	0.0	0.0	0	0	1	
banque_centrale_supelec	Concours ARTS ET MÃ‰TIERS ParisTech MP	2386	25.4	24.7	378	20.6	29.6	137	23.4	38.0	2					40	
banque_centrale_supelec	ensea_cergy	2386	25.4	24.7	1672	25.1	26.0	999	25.6	24.9	50	24.0	38.0	898	847	60	
banque_centrale_supelec	université_de_technologie_de_troyes_(utt)	612	25.7	19.9	220	27.7	12.3	169	26.0	11.2	1	0.0	0.0	142	142	20	
banque_centrale_supelec	epf_campus_troyes										6	50.0	16.7	302	296	5	
banque_centrale_supelec	epf_campus_montpellier										6	50.0	33.3	278	231	5	
banque_centrale_supelec	epf_campus_sceaux										6	33.3	0.0	240	238	5	
banque_centrale_supelec	Concours EPF Sceaux-Troyes-Montpellier MP	488	35.7	16.8	414	37.2	16.7	328	38.7	14.6	18					15	
banque_centrale_supelec	estp_paris_travaux_publics_(tp)_campus_de_cachan										48	25.0	16.7	406	386	64	
banque_centrale_supelec	estp_paris_bâtiment_(b)_campus_de_cachan										49	46.9	14.3	389	379	62	
banque_centrale_supelec	estp_paris_génie_mécanique_et_electrique(gme)										12	50.0	8.3	371	375	24	
banque_centrale_supelec	estp_paris_topographie_(t)										2	0.0	0.0	449	449	10	
banque_centrale_supelec	estp_paris_bâtiment_(b)_campus_de_troyes										1	100.0	0.0	431	431	12	
banque_centrale_supelec	estp_paris_travaux_publics_(tp)_campus_de_dijon										3	100.0	0.0	415	411	5	
banque_centrale_supelec	Concours ESTP MP	1001	28.4	23.2	801	29.7	20.8	498	34.3	17.7	115					177	
banque_centrale_supelec	ecole_navale_brest	487	18.9	32.0	203	16.7	39.4	81	17.3	50.6	30	10.0	53.3	31	30	30	
concours_commun_mines_ponts	chimie_paristech										1	0.0	0.0	1334	1334	2	
concours_commun_mines_ponts	ensae_paristech										55	27.3	38.2	1019	991	55	
concours_commun_mines_ponts	ensta_paristech										59	30.5	27.1	890	828	60	
concours_commun_mines_ponts	ensta_paristech_apprentissage										1	100.0	0.0	950	950	2	
concours_commun_mines_ponts	imt_atlantique_cursus_brest_nantes_rennes_toulouse										86	20.9	17.4	1451	1404	85	
concours_commun_mines_ponts	imt_atlantique_cursus_sophia_antipolis										4	25.0	0.0	1119	1167	3	
concours_commun_mines_ponts	isae_supaero_toulouse										73	26.0	23.3	637	607	75	
concours_commun_mines_ponts	mines_de_nancy										47	17.0	40.4	1208	1184	52	
concours_commun_mines_ponts	mines_saint_etienne										48	35.4	27.1	1372	1327	48	
concours_commun_mines_ponts	mines_paristech										50	26.0	8.0	148	148	50	
concours_commun_mines_ponts	ponts_paristech										80	35.0	30.0	468	465	80	
concours_commun_mines_ponts	telecom_paristech_cursus_paris										61	19.7	19.7	658	623	65	
concours_commun_mines_ponts	telecom_paristech_cursus_sophia										15	13.3	13.3	922	899	18	
concours_commun_mines_ponts	Concours CCMP MP	5692	23.3	20.4	1879	18.7	20.7	1810	19.0	20.6	580					595	
concours_commun_inp	bordeaux_inp_ensc_cognitique										7	71.4	28.6	2160	2140	8	
concours_commun_inp	bordeaux_inp_enseirb_matmeca_electronique										37	13.5	16.2	2383	2351	36	
concours_commun_inp	bordeaux_inp_enseirb_matmeca_informatique										56	7.1	17.9	1821	1774	54	
concours_commun_inp	bordeaux_inp_enseirb_matmeca_mathématiques_et_mécanique										38	13.2	21.1	2068	1963	39	
concours_commun_inp	bordeaux_inp_enseirb_matmeca_télecom.										30	26.7	23.3	2214	2209	25	
concours_commun_inp	cpe_lyon_sciences_du_numérique										19	10.5	10.5	3407	3335	12	
concours_commun_inp	eisti_cergy_pau										60	20.0	25.0	3483	3338	48	
concours_commun_inp	enac_toulouse_civil										37	35.1	37.8	1061	1016	39	
concours_commun_inp	enac_toulouse_fonctionnaire										5	60.0	40.0	338	360	5	
concours_commun_inp	engees_strasbourg_civil_(apprenti)										1	0.0	100.0	3015	3015	1	
concours_commun_inp	engees_strasbourg_civil_(étudiant)										11	63.6	9.1	3040	3044	9	
concours_commun_inp	engees_strasbourg_fonctionnaire										3	33.3	0.0	2635	2545	3	
concours_commun_inp	ensc_lille										2	0.0	0.0	2830	2830	2	
concours_commun_inp	ensgti_pau_energétique										10	30.0	20.0	3714	3498	10	
concours_commun_inp	ensi_poitiers_génie_de_l'eau_et_génie_civil										4	25.0	0.0	2937	2998	6	
concours_commun_inp	ensi_poitiers_energie										19	31.6	26.3	3619	3353	17	
concours_commun_inp	ensiame_valenciennes_informatique_et_génie_industriel										8	37.5	0.0	2879	2909	7	
concours_commun_inp	ensiame_valenciennes_méca_energ.										17	17.6	17.6	3704	3503	18	
concours_commun_inp	ensiame_valenciennes_mécatronique										11	9.1	18.2	3439	3348	10	
concours_commun_inp	ensicaen_electronique_et_physique_appliquée										19	15.8	42.1	3311	3240	20	
concours_commun_inp	ensicaen_informatique										27	7.4	33.3	2745	2614	30	
concours_commun_inp	ensmm_besanã§on										33	18.2	21.2	2978	2939	46	
concours_commun_inp	grenoble_inp_ense3										52	32.7	13.5	1809	1703	70	
concours_commun_inp	grenoble_inp_pagora										7	42.9	14.3	3049	3075	10	
concours_commun_inp	grenoble_inp_phelma_(physique_electronique_télécoms)										48	22.9	14.6	1334	1241	58	
concours_commun_inp	grenoble_inp_phelma_(physique_matériaux_procédés)										33	30.3	27.3	1028	950	38	
concours_commun_inp	grenoble_inp_ensimag										124	11.3	20.2	614	589	125	
concours_commun_inp	grenoble_inp_esisar										6	0.0	50.0	2161	2066	11	
concours_commun_inp	isae_ensma_poitiers										55	20.0	29.1	1515	1340	55	
concours_commun_inp	isima_clermont_ferrand										40	20.0	22.5	3238	3069	40	
concours_commun_inp	lorraine_inp_ensem_energie										24	25.0	29.2	3381	3276	35	
concours_commun_inp	lorraine_inp_ensem_spécialité_des_systèmes_numériques										17	23.5	17.6	2957	2813	14	
concours_commun_inp	lorraine_inp_ensic										5	60.0	20.0	2614	2334	9	
concours_commun_inp	seatech_toulon										16	6.2	37.5	3118	3009	22	
concours_commun_inp	supmeca_paris										40	22.5	15.0	2660	2573	42	
concours_commun_inp	telecom_physique_strasbourg										23	34.8	13.0	2346	2254	31	
concours_commun_inp	toulouse_inp_enseeiht_electronique_energie_automatique_(eea)										43	27.9	25.6	1682	1611	31	
concours_commun_inp	toulouse_inp_enseeiht_mécanique_des fluides_energetique_environnement_(mfee)										17	23.5	23.5	1223	1140	17	
concours_commun_inp	toulouse_inp_enseeiht_sciences_du_numérique										95	13.7	18.9	1281	1218	87	
concours_commun_inp	toulouse_inp_ensiacet_génie_des_procédés										10	40.0	30.0	2878	2781	11	
concours_commun_inp	toulouse_inp_ensiacet_génie_industriel										22	22.7	22.7	2592	2574	17	
concours_commun_inp	Concours CCINP MP	7433	26.8	19.6	4997	24.3	21.1	4210	24.8	21.5	1131					1168	
banque_epreuves_ccinp_inter_filière	lorraine_inp_eeigm	442	37.8	19.5	241	39.0	17.4	20	55.0	10.0	4	25.0	0.0	47	44	10*	
banque_epreuves_ccinp_inter_filière	ensil_ensci_limoges_céramique_industrielle	502	35.7	16.3	326	36.2	14.1	28	53.6	14.3	6	33.3	0.0	126	115	45*	
banque_epreuves_ccinp_inter_filière	lorraine_inp_ensgsi	737	35.4	20.4	372	34.4	18.3	87	43.7	29.9	8	37.5	37.5	96	89	35*	
banque_epreuves_ccinp_inter_filière	esm_saint_cyr	515	19.4	30.5	150	14.7	44.0	69	8.7	52.2	21	0.0	38.1	82	84	76*	
banque_epreuves_ccinp_inter_filière	grenoble_inp_génie_industriel	1382	32.7	17.9	600	30.7	19.0	91	44.0	19.8	31	48.4	32.3	124	161	76*	
banque_epreuves_ccinp	ecole_de_l'air_base	486	21.4	29.2	206	15.5	41.7	51	17.6	62.7	2	50.0	100.0	17	17	2	
banque_epreuves_ccinp	ecole_de_l'air_méca	482	21.4	30.5	202	15.3	44.6	52	19.2	65.4	5	40.0	100.0	30	25	5	
banque_epreuves_ccinp	ecole_de_l'air_pilote	549	20.2	28.4	208	15.4	38.0	40	12.5	50.0	15	6.7	60.0	12	12	15	
banque_epreuves_ccinp	ensai_rennes_civil	1789	30.6	23.5	1126	28.0	25.0	787	29.9	27.4	53	22.6	50.9	374	335	51	
banque_epreuves_ccinp	ensai_rennes_fonctionnaire_(attaché_insee)	1264	29.8	23.2	920	28.0	25.5	660	29.2	29.1	21	23.8	42.9	367	340	22	
banque_epreuves_ccinp	ensisa_mulhouse_automatique_et_systèmes_embarqués										6	33.3	33.3	77	74	3	
banque_epreuves_ccinp	ensisa_mulhouse_informatique_et_réseaux										10	20.0	40.0	55	54	5	
banque_epreuves_ccinp	ensisa_mulhouse_mécanique										3	33.3	0.0	72	75	5	
banque_epreuves_ccinp	ensisa_mulhouse_textile_et_fibres										7	85.7	71.4	123	111	2	
banque_epreuves_ccinp	Concours ENSISA MP	1140	31.5	22.9	763	31.1	19.1	148	36.5	24.3	26					15	
banque_epreuves_ccinp	eost_strasbourg	579	34.5	20.0	352	35.8	16.2	60	38.3	21.7	9	55.6	33.3	37	34	11	
