concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_médian	integres_rg_moyen	places
centrale_supelec	centralesupélec_cursus_apprenti_campus_metz										11	9.1	18.2	209	214	15	
centrale_supelec	centrale_casablanca										0	0.0	0.0	0	0	5	
centrale_supelec	centralesupélec_cursus_apprenti_campus_rennes										12	8.3	16.7	127	130	15	
centrale_supelec	centralesupélec_statut_étudiant										20	10.0	5.0	23	24	20	
centrale_supelec	centrale_lyon										25	16.0	8.0	105	101	24	
centrale_supelec	institut_d'optique_graduate_school_(supoptique)										8	25.0	25.0	371	369	10	
centrale_supelec	centrale_lille										11	0.0	0.0	159	153	12	
centrale_supelec	centrale_nantes										7	0.0	14.3	106	97	20	
centrale_supelec	centrale_marseille										4	0.0	0.0	215	218	5	
centrale_supelec	Concours Centrale-SupÃ©lec PT	1444	13.1	18.3	461	9.3	13.2	458	9.2	13.3	98					126	
concours_commun_mines_ponts	ensta_paristech										12	0.0	0.0	61	62	8	
concours_commun_mines_ponts	ensta_paristech_apprentissage										0	0.0	0.0	0	0	4	
concours_commun_mines_ponts	imt_atlantique_cursus_brest_nantes_rennes_toulouse										6	16.7	0.0	123	122	4	
concours_commun_mines_ponts	imt_atlantique_cursus_sophia_antipolis										0	0.0	0.0	0	0	1	
concours_commun_mines_ponts	isae_supaero_toulouse										7	0.0	14.3	52	49	6	
concours_commun_mines_ponts	mines_de_nancy										4	0.0	0.0	109	98	4	
concours_commun_mines_ponts	mines_saint_etienne										5	0.0	20.0	131	130	5	
concours_commun_mines_ponts	mines_paristech										5	40.0	0.0	17	16	5	
concours_commun_mines_ponts	ponts_paristech										4	25.0	25.0	35	35	3	
concours_commun_mines_ponts	telecom_paristech_cursus_paris										2	0.0	0.0	54	54	1	
concours_commun_mines_ponts	telecom_paristech_cursus_sophia										2	0.0	50.0	66	66	1	
concours_commun_mines_ponts	Concours commun Mines-Ponts PT	1179	13.2	16.8	200	7.5	18.5	200	7.5	18.5	47					42	
concours_commun_ensam	arts_et_métiers										545	11.7	25.7	499	486	542	
concours_commun_ensam	arts_et_métiers_ingénieurs_militaires										9	0.0	55.6	528	522	9	
concours_commun_ensam	arts_et_métiers_voie_de_l'apprentissage										2	0.0	50.0	565	565	12	
concours_commun_ensam	ensea_cergy										9	0.0	22.2	1138	1095	20	
concours_commun_ensam	Concours ARTS ET MÃ‰TIERS ParisTech PT	2280	13.9	17.5	1283	12.0	22.1	1249	12.0	22.4	565					583	
concours_ecole_polytechnique	ecole_polytechnique	369	12.5	12.7	24	4.2	0.0	11	0.0	0.0	10	0.0	0.0	6	6	10	
concours_ens_de_cachan	ens_paris_saclay	1663	12.7	18.9	369	5.4	23.3	271	6.6	17.7	36	11.1	16.7	119	130	36	
concours_ens_de_cachan	ens_rennes	1559	13.0	19.1	410	6.3	23.9	338	7.1	21.9	9	22.2	33.3	225	219	9	
concours_mines_télécom	imt_mines_albi										7	14.3	28.6	283	281	5	
concours_mines_télécom	imt_mines_alès										23	17.4	21.7	364	350	24	
concours_mines_télécom	ensta_bretagne_(filière_sous_statut_étudiant)										15	13.3	13.3	157	144	12	
concours_mines_télécom	imt_lille_douai										17	5.9	17.6	392	377	20	
concours_mines_télécom	mines_saint_etienne_ismin										8	12.5	0.0	364	375	7	
concours_mines_télécom	telecom_sudparis_cursus_evry										7	14.3	14.3	170	161	7	
concours_mines_télécom	Concours Mines-TÃ©lÃ©com PT	1775	14.5	18.9	708	11.3	22.9	495	12.9	23.2	77					75	
concours_mines_télécom	ensta_bretagne_(filière_sous_statut_ieta_direction_générale_de_l'armement)	1775	14.5	18.9	613	11.4	26.3	410	13.2	27.3	3	33.3	33.3	86	82	3	
concours_mines_télécom	ensg_géomatique_marne_la_vallée_civil										2	0.0	0.0	385	385	2	
concours_mines_télécom	enssat_lannion										5	20.0	40.0	563	536	5	
concours_mines_télécom	telecom_nancy										14	7.1	21.4	491	473	12	
concours_mines_télécom	telecom_st_etienne_statut_étudiant										8	0.0	37.5	527	509	7	
concours_mines_télécom	telecom_st_etienne_statut_apprenti										0	0.0	0.0	0	0	2	
concours_mines_télécom	Concours Mines-TÃ©lÃ©com SpÃ©cifique PT	1775	14.5	18.9	1056	12.5	22.4	588	13.8	24.3	29					28	
concours_commun_inp	bordeaux_inp_enseirb_matmeca_electronique										6	0.0	0.0	848	775	2	
concours_commun_inp	bordeaux_inp_enseirb_matmeca_informatique										2	0.0	0.0	434	434	1	
concours_commun_inp	bordeaux_inp_enseirb_matmeca_mathématiques_et_mécanique										9	0.0	22.2	809	833	5	
concours_commun_inp	bordeaux_inp_enseirb_matmeca_télecom.										3	0.0	33.3	963	961	1	
concours_commun_inp	cpe_lyon_sciences_du_numérique										2	0.0	0.0	1280	1280	2	
concours_commun_inp	eisti_cergy_pau										4	0.0	0.0	1151	1140	5	
concours_commun_inp	enac_toulouse_civil										2	0.0	0.0	599	599	2	
concours_commun_inp	engees_strasbourg_civil_(étudiant)										3	33.3	0.0	1120	1108	2	
concours_commun_inp	ensi_poitiers_génie_de_l'eau_et_génie_civil										1	100.0	100.0	1013	1013	2	
concours_commun_inp	ensi_poitiers_energie										2	50.0	0.0	1147	1147	6	
concours_commun_inp	ensiame_valenciennes_informatique_et_génie_industriel										0	0.0	0.0	0	0	4	
concours_commun_inp	ensiame_valenciennes_méca_energ.										5	0.0	20.0	1261	1233	6	
concours_commun_inp	ensiame_valenciennes_mécatronique										1	0.0	0.0	834	834	6	
concours_commun_inp	ensicaen_electronique_et_physique_appliquée										4	0.0	25.0	1146	1104	8	
concours_commun_inp	ensicaen_informatique										3	0.0	33.3	939	954	2	
concours_commun_inp	ensil_ensci_limoges_céramique_industrielle										1	0.0	0.0	1210	1210	2	
concours_commun_inp	ensmm_besanã§on										34	8.8	32.4	1162	1121	47	
concours_commun_inp	grenoble_inp_ense3										13	15.4	30.8	765	685	15	
concours_commun_inp	grenoble_inp_pagora										1	0.0	0.0	905	905	1	
concours_commun_inp	grenoble_inp_phelma_(physique_electronique_télécoms)										4	0.0	0.0	395	409	3	
concours_commun_inp	grenoble_inp_phelma_(physique_matériaux_procédés)										4	0.0	25.0	604	569	3	
concours_commun_inp	grenoble_inp_ensimag										13	0.0	7.7	174	175	10	
concours_commun_inp	grenoble_inp_esisar										2	0.0	0.0	734	734	3	
concours_commun_inp	isae_ensma_poitiers										6	16.7	0.0	252	297	5	
concours_commun_inp	isima_clermont_ferrand										5	60.0	0.0	967	1026	5	
concours_commun_inp	lorraine_inp_ensem_energie										6	16.7	33.3	1113	1127	6	
concours_commun_inp	seatech_toulon										8	37.5	12.5	1089	1087	9	
concours_commun_inp	supmeca_paris										19	10.5	26.3	853	828	12	
concours_commun_inp	toulouse_inp_enseeiht_electronique_energie_automatique_(eea)										3	0.0	33.3	545	578	4	
concours_commun_inp	toulouse_inp_enseeiht_mécanique_des fluides_energetique_environnement_(mfee)										2	50.0	50.0	362	362	2	
