ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_médian	integres_rg_moyen	places
Concours Mines-TÃ©lÃ©com SpÃ©cifique PSI	4211	23.6	17.6				3160	23.4	17.8	73					59	
ENTPE_Lyon_Civil										23	47.8	17.4	971	883	21	
ENTPE_Lyon_Fonctionnaire										29	31.0	24.1	849	812	29	
Concours TPE - Candidats franÃ§ais et de l'Union europÃ©enne - filiÃ¨re PSI	2255	26.6	18.8				1279	25.5	20.0	52					50	
ENTPE_Lyon_Etranger	2255	26.6	18.8				27	40.7	22.2	1	0.0	0.0	10	10	1	
EIVP_Paris_Civil	2255	26.6	18.8				1411	26.2	20.1	19	36.8	15.8	1162	1102	19	
EIVP_Paris_Fonctionnaire	2255	26.6	18.8				1382	26.0	20.0	4	50.0	50.0	840	904	4	
IMT_Lille_Douai_Fonct.	2255	26.6	18.8				1279	25.5	20.0	2	0.0	0.0	721	721	2	
Bordeaux_INP_-_ENSC_Cognitique										11	36.4	18.2	2372	2414	8	
Bordeaux_INP_-_ENSEIRB-MATMECA_Electronique										22	4.5	18.2	2280	2231	17	
Bordeaux_INP_-_ENSEIRB-MATMECA_Informatique										10	10.0	0.0	1828	1635	10	
Bordeaux_INP_-_ENSEIRB-MATMECA_Mathématiques_et_Mécanique										23	17.4	21.7	1965	1902	16	
Bordeaux_INP_-_ENSEIRB-MATMECA_Télecom.										21	33.3	9.5	2381	2323	16	
Bordeaux_INP_-_ENSPIMA										7	28.6	14.3	2082	2005	5	
CPE_LYON_Sciences_du_numérique										8	25.0	37.5	3186	3042	10	
EISTI_Cergy_-_Pau										25	20.0	16.0	3384	3348	20	
ENAC_Toulouse_Civil										28	21.4	32.1	1211	1147	34	
ENAC_Toulouse_Fonctionnaire										5	0.0	0.0	646	621	5	
ENGEES__Strasbourg_Civil_(apprenti)										3	33.3	0.0	3161	3151	2	
ENGEES__Strasbourg_Civil_(étudiant)										12	58.3	16.7	2499	2562	10	
ENGEES__Strasbourg_Fonctionnaire										3	66.7	0.0	1671	1719	3	
ENSGTI_Pau_-_Energétique										12	41.7	8.3	3466	3234	12	
ENSI_Poitiers_-_Génie_de_l'Eau_et_Génie_Civil										8	12.5	12.5	2280	2322	7	
ENSI_Poitiers_Energie										16	43.8	37.5	3143	3078	20	
ENSICAEN_Electronique_et_Physique_Appliquée										10	20.0	40.0	3062	3000	12	
ENSICAEN_Informatique										5	20.0	0.0	2459	2352	5	
ENSMM_BesanÃ§on										48	37.5	14.6	2817	2720	54	
Grenoble__INP_-_ENSE3										78	25.6	11.5	1657	1606	80	
Grenoble__INP_-_Pagora										7	42.9	0.0	2934	2911	11	
Grenoble__INP_-_Phelma_(Physique_Electronique_Télécoms)										41	14.6	12.2	1528	1358	43	
