concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_médian	integres_rg_moyen	places
concours_mines_télécom	télécom_physique_strasbourg_informatique_et_réseaux										6	33.3	0.0	1771	1595	8	
concours_mines_télécom	télécom_physique_strasbourg_ti_santé										7	57.1	0.0	1724	1648	8	
concours_mines_télécom	telecom_sudparis										31	32.3	32.3	891	859	30	
concours_mines_télécom	telecom_sudparis_cursus_sophia_antipolis										0	0.0	0.0	0	0	3	
concours_mines_télécom	Concours Mines-TÃ©lÃ©com PC	3680	35.1	22.4				2024	35.1	23.1	245					241	
concours_mines_télécom	ensta_bretagne_(filière_sous_statut_ieta_direction_générale_de_l'armement)	3680	35.1	22.4				1778	34.5	25.3	8	25.0	75.0	639	630	8	
concours_mines_télécom	ensg_géomatique_marne_la_vallée_civil										5	40.0	40.0	2413	2336	6	
concours_mines_télécom	ensg_nancy										8	50.0	0.0	1364	1369	10	
concours_mines_télécom	enssat_lannion										14	35.7	14.3	2302	2278	14	
concours_mines_télécom	telecom_nancy										7	42.9	14.3	1697	1518	5	
concours_mines_télécom	telecom_st_etienne_statut_étudiant										16	37.5	12.5	1947	1900	11	
concours_mines_télécom	Concours Mines-TÃ©lÃ©com SpÃ©cifique PC	3680	35.1	22.4				2760	36.2	22.8	50					46	
concours_commun_tpe	entpe_lyon_civil										22	50.0	22.7	1045	1029	21	
concours_commun_tpe	entpe_lyon_fonctionnaire										29	31.0	48.3	915	904	29	
concours_commun_tpe	Concours TPE - Candidats franÃ§ais et de l'Union europÃ©enne - filiÃ¨re PC	2104	35.9	24.6				1265	35.6	25.4	51					50	
concours_commun_tpe	entpe_lyon_etranger	2104	35.9	24.6				29	37.9	13.8	0	0.0	0.0	0	0	1	
concours_commun_tpe	eivp_paris_civil	2104	35.9	24.6				1437	36.2	25.2	26	46.2	26.9	1262	1221	20	
concours_commun_tpe	eivp_paris_fonctionnaire	2104	35.9	24.6				1405	36.2	25.4	4	50.0	50.0	873	874	4	
concours_commun_tpe	imt_lille_douai_fonct.	2104	35.9	24.6				1265	35.6	25.4	2	50.0	0.0	585	585	2	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	bordeaux_inp_ensc_cognitique										9	44.4	11.1	2293	2053	6	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	bordeaux_inp_enseirb_matmeca_electronique										20	15.0	25.0	2191	2149	13	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	bordeaux_inp_enseirb_matmeca_informatique										6	16.7	50.0	1572	1482	5	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	bordeaux_inp_enseirb_matmeca_mathématiques_et_mécanique										11	36.4	54.5	1725	1534	6	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	bordeaux_inp_enseirb_matmeca_télecom.										14	21.4	21.4	2050	2036	8	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	cpe_lyon_sciences_du_numérique										12	8.3	16.7	3005	2948	12	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	eisti_cergy_pau										46	23.9	21.7	3255	3083	30	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	enac_toulouse_civil										23	17.4	30.4	983	928	20	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	enac_toulouse_fonctionnaire										3	0.0	66.7	153	147	3	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	engees_strasbourg_civil_(apprenti)										3	66.7	66.7	2746	2746	2	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	engees_strasbourg_civil_(étudiant)										13	46.2	23.1	2043	2067	10	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	engees_strasbourg_fonctionnaire										3	66.7	33.3	1006	846	3	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	ensgti_pau_génie_des_procédés										13	61.5	23.1	3185	3024	15	
ccinp_:_ecoles_recrutant_sur_le_concours_physique	ensi_poitiers_energie										13	30.8	30.8	2821	2758	17	
