concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
Concours Communs Polytechniques	Grenoble Inp - Phelma (Physique Electronique Télécoms)										4	0.0	0.0	388	343	3
Concours Communs Polytechniques	Grenoble Inp - Phelma (Physique Matériaux Procédés)										3	0.0	0.0	297	358	3
Concours Communs Polytechniques	Grenoble Inp - Ensimag										12	0.0	8.3	271	266	10
Concours Communs Polytechniques	Grenoble Inp - Esisar										5	0.0	0.0	882	857	3
Concours Communs Polytechniques	Isae-Ensma Poitiers										7	14.3	42.9	284	251	5
Concours Communs Polytechniques	Isima Clermont-Ferrand										5	0.0	20.0	1034	1058	5
Concours Communs Polytechniques	Lorraine Inp - Ensem - Energie										3	0.0	33.3	929	934	6
Concours Communs Polytechniques	Seatech Toulon										11	9.1	45.5	1119	1083	9
Concours Communs Polytechniques	Supmeca Paris										11	0.0	0.0	782	705	12
Concours Communs Polytechniques	Toulouse Inp - Enseeiht - Electronique-Energie-Automatique (Eea)										4	0.0	50.0	521	468	4
Concours Communs Polytechniques	Toulouse Inp - Enseeiht - Mécanique Des Fluides-Energetique-Environnement (Mfee)										2	0.0	0.0	474	474	2
Concours Communs Polytechniques	Toulouse Inp - Enseeiht - Sciences Du Numérique										4	0.0	25.0	536	547	4
Concours Communs Polytechniques	Concours_Commun_Polytechnique_Pt	2354	13.3	19.9	1451	11.1	25.0	1322	10.9	23.7	176					185
Concours Polytech	Ensim Le Mans										2	0.0	50.0	1013	1013	2
Concours Polytech	Esgt Le Mans										0	0.0	0.0	0	0	5
Concours Polytech	Esi Reims										0	0.0	0.0	0	0	3
Concours Polytech	Esipe Créteil - Génie Biomédical Et Santé (Isbs)										1	0.0	0.0	1239	1239	1
Concours Polytech	Esipe Créteil - Système D'Information										1	0.0	0.0	1208	1208	1
Concours Polytech	Esipe Créteil - Technologie Pour La Santé										0	0.0	0.0	0	0	1
Concours Polytech	Esir Rennes										0	0.0	0.0	0	0	4
Concours Polytech	Esiroi Saint Denis De La Réunion										0	0.0	0.0	0	0	1
Concours Polytech	Esix Normandie - Caen - Cherbourg										1	0.0	0.0	883	883	2
Concours Polytech	Isat Nevers - Département Mit (Mécanique Et Ingénierie Des Transports)										5	20.0	20.0	854	855	7
