concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
Concours Commun Mines-Ponts	Ponts Paristech										86	24.4	14.0	574	558	84
Concours Commun Mines-Ponts	Telecom Paris Cursus Paris										64	17.2	18.8	725	660	64
Concours Commun Mines-Ponts	Telecom Paris Cursus Sophia										13	38.5	23.1	905	896	14
Concours Commun Mines-Ponts	Concours_Ccmp_Mp	5804	22.5	20.0				2003	17.3	20.4	582					600
Concours Mines - Télécom	Imt Mines Albi										49	34.7	38.8	2026	1972	53
Concours Mines - Télécom	Imt Mines Alès										58	25.9	24.1	1802	1731	64
Concours Mines - Télécom	Ensiie Evry										78	17.9	15.4	2031	1981	72
Concours Mines - Télécom	Ensta Bretagne (Filière Sous Statut Étudiant)										46	23.9	17.4	1257	1197	50
Concours Mines - Télécom	Imt Lille Douai										60	20.0	31.7	2171	2050	72
Concours Mines - Télécom	Mines Saint Etienne-Ismin										32	21.9	12.5	1671	1624	38
Concours Mines - Télécom	Télécom Physique Strasbourg Informatique Et Réseaux										20	35.0	20.0	2509	2351	20
Concours Mines - Télécom	Télécom Physique Strasbourg Ti-Santé										7	71.4	14.3	2302	2050	8
Concours Mines - Télécom	Telecom Sudparis										85	20.0	29.4	1226	1171	86
Concours Mines - Télécom	Telecom Sudparis - Cursus Sophia-Antipolis										9	22.2	44.4	1264	1207	4
Concours Mines - Télécom	Concours_Mines_Télécom_Mp	5424	24.4	21.1				2986	22.2	22.5	444					467
Concours Mines - Télécom	Ensta Bretagne (Filière Sous Statut Ieta - Direction Générale De L'Armement)	5424	24.4	21.1				2500	21.7	25.3	14	14.3	57.1	1120	1048	14
Concours Mines - Télécom	Ensg-Géomatique Marne La Vallée Civil										6	16.7	16.7	3096	3142	10
Concours Mines - Télécom	Ensg Nancy										7	57.1	28.6	2884	2886	5
Concours Mines - Télécom	Enssat Lannion										23	21.7	30.4	2902	2740	25
Concours Mines - Télécom	Telecom Nancy										55	20.0	21.8	2605	2523	55
Concours Mines - Télécom	Telecom St Etienne - Statut Étudiant										27	22.2	33.3	2788	2661	30
Concours Mines - Télécom	Telecom St Etienne - Statut Apprenti										2	0.0	50.0	2768	2768	2
Concours Mines - Télécom	Concours_Mines_Télécom_Spécifique_Mp	5424	24.4	21.1				4067	23.7	21.5	120					127
Concours Commun Tpe	Entpe Lyon Civil										19	52.6	26.3	1253	1177	21
Concours Commun Tpe	Entpe Lyon Fonctionnaire										28	39.3	42.9	1083	1002	29
Concours Commun Tpe	Concours_Tpe_Candidats_Franã§Ais_Et_De_L'Union_Européenne_Filière_Mp	2430	28.0	22.7				1481	26.6	24.0	47					50
Concours Commun Tpe	Entpe Lyon Etranger	2430	28.0	22.7				82	41.5	24.4	1	0.0	0.0	44	44	1
Concours Commun Tpe	Eivp Paris Civil	2430	28.0	22.7				1673	27.7	23.7	22	45.5	18.2	1323	1293	23
Concours Commun Tpe	Eivp Paris Fonctionnaire	2430	28.0	22.7				1581	26.7	23.6	4	0.0	25.0	604	641	4
Concours Commun Tpe	Imt Lille Douai Fonct.	2430	28.0	22.7				1481	26.6	24.0	3	33.3	0.0	825	859	3
Concours Commun Inp	Bordeaux Inp - Ensc Cognitique										9	0.0	55.6	2576	2549	8
Concours Commun Inp	Bordeaux Inp - Enseirb-Matmeca Electronique										18	22.2	0.0	2190	2187	36
Concours Commun Inp	Bordeaux Inp - Enseirb-Matmeca Informatique										36	16.7	22.2	1836	1818	54
Concours Commun Inp	Bordeaux Inp - Enseirb-Matmeca Mathématiques Et Mécanique										33	27.3	21.2	2080	1922	41
Concours Commun Inp	Bordeaux Inp - Enseirb-Matmeca Télecom.										14	28.6	0.0	2061	2046	25
Concours Commun Inp	Bordeaux Inp - Enspima										6	0.0	0.0	2580	2636	5
Concours Commun Inp	Cpe Lyon Sciences Du Numérique										6	16.7	33.3	3733	3545	12
Concours Commun Inp	Eisti Cergy - Pau										67	22.4	14.9	4313	4012	60
Concours Commun Inp	Enac Toulouse Civil										30	10.0	30.0	1689	1547	39
Concours Commun Inp	Enac Toulouse Fonctionnaire										5	20.0	20.0	242	389	5
Concours Commun Inp	Engees Strasbourg Civil (Apprenti)										1	0.0	0.0	2663	2663	1
Concours Commun Inp	Engees Strasbourg Civil (Étudiant)										10	30.0	20.0	3386	3350	9
Concours Commun Inp	Engees Strasbourg Fonctionnaire										3	0.0	66.7	3494	2987	3
Concours Commun Inp	Ensc Lille										0	0.0	0.0	0	0	2
Concours Commun Inp	Ensgti Pau - Energétique										8	25.0	25.0	4081	4074	12
Concours Commun Inp	Ensi Poitiers - Génie De L'Eau Et Génie Civil										6	33.3	16.7	3203	3185	6
Concours Commun Inp	Ensi Poitiers Energie										16	31.2	25.0	4254	4014	17
Concours Commun Inp	Ensicaen Electronique Et Physique Appliquée										16	31.2	50.0	3519	3485	20
Concours Commun Inp	Ensicaen Informatique										24	8.3	20.8	2787	2737	30
Concours Commun Inp	Ensmm Besanã§On										40	30.0	35.0	3524	3489	40
Concours Commun Inp	Grenoble Inp - Ense3										48	20.8	25.0	2145	1951	70
Concours Commun Inp	Grenoble Inp - Pagora										7	57.1	14.3	3232	3107	10
Concours Commun Inp	Grenoble Inp - Phelma (Physique Electronique Télécoms)										54	22.2	29.6	1798	1712	56
Concours Commun Inp	Grenoble Inp - Phelma (Physique Matériaux Procédés)										32	25.0	31.2	1110	1079	35
Concours Commun Inp	Grenoble Inp - Ensimag										134	11.9	22.4	867	809	125
Concours Commun Inp	Grenoble Inp - Esisar										4	0.0	25.0	2234	2175	11
Concours Commun Inp	Isae-Ensma Poitiers										55	20.0	29.1	1966	1851	55
Concours Commun Inp	Isima Clermont-Ferrand										43	16.3	27.9	3161	3077	44
Concours Commun Inp	Lorraine Inp - Ensem - Energie										31	35.5	32.3	3712	3537	35
Concours Commun Inp	Lorraine Inp - Ensem - Spécialité Des Systèmes Numériques										17	11.8	35.3	3155	3068	16
Concours Commun Inp	Lorraine Inp - Ensic										3	66.7	33.3	3072	3082	9
Concours Commun Inp	Seatech Toulon										18	11.1	27.8	3481	3337	22
Concours Commun Inp	Sigma Clermont-Ferrand - Spécialité Mécanique Avancée										7	14.3	28.6	3915	3550	16
Concours Commun Inp	Supmeca Paris										42	19.0	28.6	2875	2787	45
Concours Commun Inp	Telecom Physique Strasbourg										24	12.5	33.3	2705	2661	31
Concours Commun Inp	Toulouse Inp - Enseeiht - Electronique-Energie-Automatique (Eea)										27	22.2	3.7	1384	1242	31
Concours Commun Inp	Toulouse Inp - Enseeiht - Mécanique Des Fluides-Energetique-Environnement (Mfee)										18	50.0	33.3	1218	1144	18
Concours Commun Inp	Toulouse Inp - Enseeiht - Sciences Du Numérique										89	20.2	24.7	1338	1301	91
Concours Commun Inp	Toulouse Inp - Ensiacet - Génie Des Procédés										9	44.4	11.1	2951	2880	11
Concours Commun Inp	Toulouse Inp - Ensiacet - Génie Industriel										14	50.0	42.9	2680	2611	17
Concours Commun Inp	Concours_Ccinp_Mp	7721	26.6	19.1				5146	24.5	19.6	1024					1173
Banque Epreuves Ccinp  Inter-Filière	Ensil - Ensci Limoges Céramique Industrielle										6	33.3	0.0	1994	1905	45
Banque Epreuves Ccinp  Inter-Filière	Ensil - Ensci Limoges Ee										4	0.0	25.0	1707	1644	28
Banque Epreuves Ccinp  Inter-Filière	Ensil - Ensci Limoges Elt										5	60.0	0.0	1726	1611	28
