concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
Centrale-Supelec	Centralesupélec - Cursus Apprenti - Campus Metz										11	0.0	9.1	124	126	10
Centrale-Supelec	Centrale Casablanca										2	0.0	0.0	685	685	5
Centrale-Supelec	Centralesupélec - Cursus Apprenti - Campus Rennes										10	10.0	0.0	75	72	10
Centrale-Supelec	Centralesupélec - Statut Étudiant										20	5.0	10.0	26	26	20
Centrale-Supelec	Centrale Lyon										24	8.3	4.2	86	88	24
Centrale-Supelec	Institut D'Optique Graduate School (Supoptique)										16	12.5	12.5	718	663	10
Centrale-Supelec	Centrale Lille										12	0.0	16.7	169	165	12
Centrale-Supelec	Centrale Nantes										8	12.5	0.0	56	58	20
Centrale-Supelec	Centrale Marseille										5	0.0	0.0	257	226	5
Centrale-Supelec	Concours_Centrale_Supélec_Pt	1497	14.0	15.9				1482	14.2	15.8	108					116
Concours Commun Mines-Ponts	Ensta Paris										10	10.0	20.0	75	81	12
Concours Commun Mines-Ponts	Ensta Paris - Apprentissage										3	0.0	0.0	148	158	4
Concours Commun Mines-Ponts	Imt Atlantique Cursus Brest-Nantes-Rennes-Toulouse										8	25.0	12.5	159	149	6
Concours Commun Mines-Ponts	Imt Atlantique Cursus Sophia Antipolis										0	0.0	0.0	0	0	1
Concours Commun Mines-Ponts	Isae - Supaero Toulouse										6	0.0	0.0	50	52	6
Concours Commun Mines-Ponts	Mines De Nancy										4	25.0	25.0	170	172	4
Concours Commun Mines-Ponts	Mines Saint-Etienne										7	14.3	0.0	178	172	5
Concours Commun Mines-Ponts	Mines Paristech										5	0.0	20.0	10	12	5
Concours Commun Mines-Ponts	Ponts Paristech										5	40.0	0.0	49	42	5
Concours Commun Mines-Ponts	Telecom Paris Cursus Paris										1	0.0	0.0	48	48	1
Concours Commun Mines-Ponts	Telecom Paris Cursus Sophia										1	0.0	100.0	62	62	1
Concours Commun Mines-Ponts	Concours_Commun_Mines_Ponts_Pt	1290	14.6	15.3				246	11.8	8.1	50					50
Concours Mines - Télécom	Imt Mines Albi										6	33.3	16.7	556	552	5
Concours Mines - Télécom	Imt Mines Alès										23	26.1	4.3	641	585	23
Concours Mines - Télécom	Ensta Bretagne (Filière Sous Statut Étudiant)										15	26.7	6.7	208	206	15
Concours Mines - Télécom	Imt Lille Douai										14	7.1	7.1	562	557	20
Concours Mines - Télécom	Mines Saint Etienne-Ismin										7	0.0	0.0	493	464	7
Concours Mines - Télécom	Telecom Sudparis										7	14.3	14.3	229	217	7
Concours Mines - Télécom	Concours_Mines_Télécom_Pt	1832	15.7	16.7				715	13.1	16.8	72					77
Concours Mines - Télécom	Ensta Bretagne (Filière Sous Statut Ieta - Direction Générale De L'Armement)	1832	15.7	16.7				602	12.5	19.9	3	33.3	33.3	59	60	3
Concours Mines - Télécom	Ensg-Géomatique Marne La Vallée Civil										3	66.7	0.0	952	966	2
Concours Mines - Télécom	Enssat Lannion										2	0.0	0.0	880	880	5
Concours Mines - Télécom	Telecom Nancy										8	25.0	37.5	772	787	10
Concours Mines - Télécom	Telecom St Etienne - Statut Étudiant										4	50.0	50.0	739	750	5
Concours Mines - Télécom	Concours_Mines_Télécom_Spécifique_Pt	1832	15.7	16.7				1184	14.5	18.9	17					22
Concours Commun Ensam	Arts Et Métiers										549	11.8	24.2	535	529	540
Concours Commun Ensam	Arts Et Métiers - Ingénieurs Militaires										7	0.0	28.6	717	645	10
Concours Commun Ensam	Arts Et Métiers - Voie De L'Apprentissage										5	20.0	40.0	387	474	15
Concours Commun Ensam	Ensea Cergy										17	5.9	47.1	1205	1137	20
Concours Commun Ensam	Concours_Arts_Et_Mã‰Tiers_Paristech_Pt	2259	14.2	16.3				1400	12.5	19.4	578					585
Concours Ecole Polytechnique	Ecole Polytechnique	380	12.9	12.6				13	15.4	0.0	11	18.2	0.0	6	6	11
Concours Ens De Cachan	Ens Paris-Saclay	1666	13.3	16.9				295	9.5	16.9	37	18.9	27.0	147	149	37
Concours Ens De Cachan	Ens Rennes	1592	13.0	17.3				385	9.9	20.3	10	0.0	30.0	237	229	10
Concours Commun Inp	Bordeaux Inp - Enseirb-Matmeca Electronique										9	0.0	22.2	976	933	4
Concours Commun Inp	Bordeaux Inp - Enspima										2	0.0	0.0	817	817	1
Concours Commun Inp	Bordeaux Inp - Enseirb-Matmeca Informatique										4	0.0	0.0	706	671	1
Concours Commun Inp	Bordeaux Inp - Enseirb-Matmeca Mathématiques Et Mécanique										7	42.9	28.6	770	755	6
Concours Commun Inp	Bordeaux Inp - Enseirb-Matmeca Télecom.										4	25.0	25.0	1036	979	1
