concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
Concours Commun Inp	Bordeaux Inp - Enseirb-Matmeca Informatique										8	0.0	25.0	1852	1698	8
Concours Commun Inp	Bordeaux Inp - Enseirb-Matmeca Mathématiques Et Mécanique										19	26.3	42.1	1844	1741	16
Concours Commun Inp	Bordeaux Inp - Enseirb-Matmeca Télecom.										15	6.7	33.3	2286	2204	14
Concours Commun Inp	Cpe Lyon Sciences Du Numérique										6	0.0	16.7	2805	2779	12
Concours Commun Inp	Eisti Cergy - Pau										16	6.2	31.2	2480	2488	15
Concours Commun Inp	Enac Toulouse Civil										37	18.9	35.1	821	765	34
Concours Commun Inp	Enac Toulouse Fonctionnaire										5	0.0	0.0	200	191	5
Concours Commun Inp	Engees Strasbourg Civil (Apprenti)										1	0.0	0.0	2418	2418	2
Concours Commun Inp	Engees Strasbourg Civil (Étudiant)										13	38.5	38.5	2407	2430	10
Concours Commun Inp	Engees Strasbourg Fonctionnaire										3	100.0	33.3	1917	1640	3
Concours Commun Inp	Ensgti Pau - Energétique										8	25.0	25.0	2847	2689	12
Concours Commun Inp	Ensi Poitiers - Génie De L'Eau Et Génie Civil										6	83.3	16.7	2763	2639	7
Concours Commun Inp	Ensi Poitiers Energie										8	50.0	0.0	2921	2826	20
Concours Commun Inp	Ensiame Valenciennes Informatique Et Génie Industriel										11	18.2	18.2	2955	2905	7
Concours Commun Inp	Ensiame Valenciennes Méca Energ.										27	18.5	33.3	2910	2788	30
Concours Commun Inp	Ensiame Valenciennes Mécatronique										12	25.0	16.7	2696	2618	12
Concours Commun Inp	Ensicaen Electronique Et Physique Appliquée										11	9.1	36.4	2594	2567	10
Concours Commun Inp	Ensicaen Informatique										3	0.0	0.0	1782	1851	5
Concours Commun Inp	Ensmm Besanã§On										46	19.6	21.7	2321	2241	56
Concours Commun Inp	Grenoble Inp - Ense3										76	22.4	19.7	1508	1376	80
Concours Commun Inp	Grenoble Inp - Pagora										7	57.1	14.3	2560	2451	11
Concours Commun Inp	Grenoble Inp - Phelma (Physique Electronique Télécoms)										38	23.7	15.8	1232	1127	45
Concours Commun Inp	Grenoble Inp - Phelma (Physique Matériaux Procédés)										26	23.1	15.4	961	911	32
Concours Commun Inp	Grenoble Inp - Ensimag										12	16.7	8.3	414	367	10
Concours Commun Inp	Grenoble Inp - Esisar										11	27.3	18.2	2445	2303	12
Concours Commun Inp	Isae-Ensma Poitiers										58	13.8	22.4	1015	953	58
Concours Commun Inp	Isima Clermont-Ferrand										4	25.0	50.0	3057	3008	12
Concours Commun Inp	Lorraine Inp - Ensem - Energie										34	26.5	32.4	2574	2511	37
Concours Commun Inp	Lorraine Inp - Ensem - Spécialité Des Systèmes Numériques										14	21.4	21.4	2884	2809	12
Concours Commun Inp	Lorraine Inp - Ensic										5	80.0	0.0	2667	2653	9
Concours Commun Inp	Seatech Toulon										30	30.0	30.0	2130	2037	29
Concours Commun Inp	Supmeca Paris										52	19.2	25.0	1770	1691	48
Concours Commun Inp	Telecom Physique Strasbourg										29	24.1	13.8	2182	1969	28
Concours Commun Inp	Toulouse Inp - Enseeiht - Electronique-Energie-Automatique (Eea)										41	14.6	17.1	1341	1286	43
