concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
Centrale-Supelec	Centralesupélec - Cursus Apprenti - Campus Metz										11	9.1	18.2	209	214	15
Centrale-Supelec	Centrale Casablanca										0	0.0	0.0	0	0	5
Centrale-Supelec	Centralesupélec - Cursus Apprenti - Campus Rennes										12	8.3	16.7	127	130	15
Centrale-Supelec	Centralesupélec - Statut Étudiant										20	10.0	5.0	23	24	20
Centrale-Supelec	Centrale Lyon										25	16.0	8.0	105	101	24
Centrale-Supelec	Institut D'Optique Graduate School (Supoptique)										8	25.0	25.0	371	369	10
Centrale-Supelec	Centrale Lille										11	0.0	0.0	159	153	12
Centrale-Supelec	Centrale Nantes										7	0.0	14.3	106	97	20
Centrale-Supelec	Centrale Marseille										4	0.0	0.0	215	218	5
Centrale-Supelec	Concours_Centrale_Supélec_Pt	1444	13.1	18.3	461	9.3	13.2	458	9.2	13.3	98					126
Concours Commun Mines-Ponts	Ensta Paristech										12	0.0	0.0	61	62	8
Concours Commun Mines-Ponts	Ensta Paristech - Apprentissage										0	0.0	0.0	0	0	4
Concours Commun Mines-Ponts	Imt Atlantique Cursus Brest-Nantes-Rennes-Toulouse										6	16.7	0.0	123	122	4
Concours Commun Mines-Ponts	Imt Atlantique Cursus Sophia Antipolis										0	0.0	0.0	0	0	1
Concours Commun Mines-Ponts	Isae - Supaero Toulouse										7	0.0	14.3	52	49	6
Concours Commun Mines-Ponts	Mines De Nancy										4	0.0	0.0	109	98	4
Concours Commun Mines-Ponts	Mines Saint-Etienne										5	0.0	20.0	131	130	5
Concours Commun Mines-Ponts	Mines Paristech										5	40.0	0.0	17	16	5
Concours Commun Mines-Ponts	Ponts Paristech										4	25.0	25.0	35	35	3
Concours Commun Mines-Ponts	Telecom Paristech Cursus Paris										2	0.0	0.0	54	54	1
Concours Commun Mines-Ponts	Telecom Paristech Cursus Sophia										2	0.0	50.0	66	66	1
Concours Commun Mines-Ponts	Concours_Commun_Mines_Ponts_Pt	1179	13.2	16.8	200	7.5	18.5	200	7.5	18.5	47					42
Concours Commun Ensam	Arts Et Métiers										545	11.7	25.7	499	486	542
Concours Commun Ensam	Arts Et Métiers - Ingénieurs Militaires										9	0.0	55.6	528	522	9
Concours Commun Ensam	Arts Et Métiers - Voie De L'Apprentissage										2	0.0	50.0	565	565	12
Concours Commun Ensam	Ensea Cergy										9	0.0	22.2	1138	1095	20
Concours Commun Ensam	Concours_Arts_Et_Mã‰Tiers_Paristech_Pt	2280	13.9	17.5	1283	12.0	22.1	1249	12.0	22.4	565					583
Concours Ecole Polytechnique	Ecole Polytechnique	369	12.5	12.7	24	4.2	0.0	11	0.0	0.0	10	0.0	0.0	6	6	10
Concours Ens De Cachan	Ens Paris-Saclay	1663	12.7	18.9	369	5.4	23.3	271	6.6	17.7	36	11.1	16.7	119	130	36
Concours Ens De Cachan	Ens Rennes	1559	13.0	19.1	410	6.3	23.9	338	7.1	21.9	9	22.2	33.3	225	219	9
Concours Mines - Télécom	Imt Mines Albi										7	14.3	28.6	283	281	5
Concours Mines - Télécom	Imt Mines Alès										23	17.4	21.7	364	350	24
Concours Mines - Télécom	Ensta Bretagne (Filière Sous Statut Étudiant)										15	13.3	13.3	157	144	12
Concours Mines - Télécom	Imt Lille Douai										17	5.9	17.6	392	377	20
Concours Mines - Télécom	Mines Saint Etienne-Ismin										8	12.5	0.0	364	375	7
Concours Mines - Télécom	Telecom Sudparis - Cursus Evry										7	14.3	14.3	170	161	7
Concours Mines - Télécom	Concours_Mines_Télécom_Pt	1775	14.5	18.9	708	11.3	22.9	495	12.9	23.2	77					75
Concours Mines - Télécom	Ensta Bretagne (Filière Sous Statut Ieta - Direction Générale De L'Armement)	1775	14.5	18.9	613	11.4	26.3	410	13.2	27.3	3	33.3	33.3	86	82	3
Concours Mines - Télécom	Ensg-Géomatique Marne La Vallée Civil										2	0.0	0.0	385	385	2
Concours Mines - Télécom	Enssat Lannion										5	20.0	40.0	563	536	5
Concours Mines - Télécom	Telecom Nancy										14	7.1	21.4	491	473	12
Concours Mines - Télécom	Telecom St Etienne - Statut Étudiant										8	0.0	37.5	527	509	7
Concours Mines - Télécom	Telecom St Etienne - Statut Apprenti										0	0.0	0.0	0	0	2
Concours Mines - Télécom	Concours_Mines_Télécom_Spécifique_Pt	1775	14.5	18.9	1056	12.5	22.4	588	13.8	24.3	29					28
Concours Commun Inp	Bordeaux Inp - Enseirb-Matmeca Electronique										6	0.0	0.0	848	775	2
Concours Commun Inp	Bordeaux Inp - Enseirb-Matmeca Informatique										2	0.0	0.0	434	434	1
Concours Commun Inp	Bordeaux Inp - Enseirb-Matmeca Mathématiques Et Mécanique										9	0.0	22.2	809	833	5
Concours Commun Inp	Bordeaux Inp - Enseirb-Matmeca Télecom.										3	0.0	33.3	963	961	1
Concours Commun Inp	Cpe Lyon Sciences Du Numérique										2	0.0	0.0	1280	1280	2
Concours Commun Inp	Eisti Cergy - Pau										4	0.0	0.0	1151	1140	5
Concours Commun Inp	Enac Toulouse Civil										2	0.0	0.0	599	599	2
Concours Commun Inp	Engees Strasbourg Civil (Étudiant)										3	33.3	0.0	1120	1108	2
Concours Commun Inp	Ensi Poitiers - Génie De L'Eau Et Génie Civil										1	100.0	100.0	1013	1013	2
Concours Commun Inp	Ensi Poitiers Energie										2	50.0	0.0	1147	1147	6
Concours Commun Inp	Ensiame Valenciennes Informatique Et Génie Industriel										0	0.0	0.0	0	0	4
Concours Commun Inp	Ensiame Valenciennes Méca Energ.										5	0.0	20.0	1261	1233	6
Concours Commun Inp	Ensiame Valenciennes Mécatronique										1	0.0	0.0	834	834	6
Concours Commun Inp	Ensicaen Electronique Et Physique Appliquée										4	0.0	25.0	1146	1104	8
Concours Commun Inp	Ensicaen Informatique										3	0.0	33.3	939	954	2
Concours Commun Inp	Ensil-Ensci Limoges Céramique Industrielle										1	0.0	0.0	1210	1210	2
Concours Commun Inp	Ensmm Besanã§On										34	8.8	32.4	1162	1121	47
Concours Commun Inp	Grenoble Inp - Ense3										13	15.4	30.8	765	685	15
Concours Commun Inp	Grenoble Inp - Pagora										1	0.0	0.0	905	905	1
Concours Commun Inp	Grenoble Inp - Phelma (Physique Electronique Télécoms)										4	0.0	0.0	395	409	3
Concours Commun Inp	Grenoble Inp - Phelma (Physique Matériaux Procédés)										4	0.0	25.0	604	569	3
Concours Commun Inp	Grenoble Inp - Ensimag										13	0.0	7.7	174	175	10
Concours Commun Inp	Grenoble Inp - Esisar										2	0.0	0.0	734	734	3
Concours Commun Inp	Isae-Ensma Poitiers										6	16.7	0.0	252	297	5
Concours Commun Inp	Isima Clermont-Ferrand										5	60.0	0.0	967	1026	5
Concours Commun Inp	Lorraine Inp - Ensem - Energie										6	16.7	33.3	1113	1127	6
Concours Commun Inp	Seatech Toulon										8	37.5	12.5	1089	1087	9
