concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
Centrale-Supelec	Centralesupélec - Cursus Apprenti - Campus Metz										11	9.1	18.2	168	164	10
Centrale-Supelec	Centrale Casablanca										0	0.0	0.0	0	0	5
Centrale-Supelec	Centralesupélec - Cursus Apprenti - Campus Rennes										11	0.0	9.1	90	93	10
Centrale-Supelec	Centralesupélec - Statut Étudiant										25	28.0	8.0	29	28	25
Centrale-Supelec	Centrale Lyon										24	16.7	0.0	105	104	24
Centrale-Supelec	Institut D'Optique Graduate School (Supoptique)										6	33.3	0.0	429	405	13
Centrale-Supelec	Centrale Lille										11	0.0	0.0	191	189	12
Centrale-Supelec	Centrale Nantes										21	4.8	9.5	135	114	10
Centrale-Supelec	Centrale Marseille										5	0.0	20.0	225	242	5
Centrale-Supelec	Concours_Centrale_Supélec_Pt	1453	14.3	14.7	534	10.3	12.9	528	10.2	13.1	114					114
Concours Commun Mines-Ponts	Ensta Paris										12	0.0	0.0	97	92	12
Concours Commun Mines-Ponts	Ensta Paris - Apprentissage										5	0.0	0.0	159	153	4
Concours Commun Mines-Ponts	Imt Atlantique										14	0.0	7.1	182	177	13
Concours Commun Mines-Ponts	Isae - Supaero Toulouse										6	0.0	0.0	68	63	6
Concours Commun Mines-Ponts	Mines De Nancy										3	0.0	0.0	197	175	4
Concours Commun Mines-Ponts	Mines Saint-Etienne										5	0.0	0.0	196	192	6
Concours Commun Mines-Ponts	Mines Paris										5	0.0	0.0	18	18	5
Concours Commun Mines-Ponts	Ponts Paristech										7	0.0	0.0	49	46	5
Concours Commun Mines-Ponts	Telecom Paris										3	0.0	0.0	53	54	4
Concours Commun Mines-Ponts	Concours_Commun_Mines_Ponts_Pt	1268	14.1	14.6	254	8.3	6.3	253	8.3	6.3	60					59
Concours Mines - Télécom	Ensg-Géomatique Marne La Vallée Civil	1850	15.4	15.8	1082	15.0	17.4	641	16.4	20.1	2	0.0	50.0	557	557	2
Concours Mines - Télécom	Enssat Lannion	1850	15.4	15.8	1082	15.0	17.4	641	16.4	20.1	1	0.0	100.0	575	575	4
Concours Mines - Télécom	Ensta Bretagne (Filière Sous Statut Étudiant)	1850	15.4	15.8	715	13.7	18.6	519	15.2	20.8	12	8.3	33.3	173	154	12
Concours Mines - Télécom	Ensta Bretagne (Filière Sous Statut Ieta - Direction Générale De L'Armement)	1850	15.4	15.8	617	12.8	21.6	438	14.6	24.7	4	25.0	50.0	118	108	4
Concours Mines - Télécom	Imt Lille Douai	1850	15.4	15.8	715	13.7	18.6	519	15.2	20.8	13	0.0	23.1	474	457	15
Concours Mines - Télécom	Imt Mines Albi	1850	15.4	15.8	715	13.7	18.6	519	15.2	20.8	6	16.7	50.0	324	325	5
Concours Mines - Télécom	Imt Mines Alès	1850	15.4	15.8	715	13.7	18.6	519	15.2	20.8	22	9.1	9.1	393	363	22
Concours Mines - Télécom	Mines Saint Etienne-Ismin	1850	15.4	15.8	715	13.7	18.6	519	15.2	20.8	12	8.3	8.3	315	291	7
Concours Mines - Télécom	Telecom Nancy	1850	15.4	15.8	1082	15.0	17.4	641	16.4	20.1	7	0.0	42.9	459	402	5
Concours Mines - Télécom	Telecom St Etienne - Statut Étudiant	1850	15.4	15.8	1082	15.0	17.4	641	16.4	20.1	7	0.0	14.3	484	461	5
Concours Mines - Télécom	Telecom Sudparis	1850	15.4	15.8	715	13.7	18.6	519	15.2	20.8	6	0.0	16.7	124	118	7
Concours Commun Ensam	Arts Et Métiers										550	15.5	20.7	558	543	542
Concours Commun Ensam	Arts Et Métiers - Ingénieurs Militaires										9	0.0	33.3	490	569	8
Concours Commun Ensam	Ensea Cergy										6	33.3	0.0	1127	1028	20
Concours Commun Ensam	Concours_Arts_Et_Mã‰Tiers_Paristech_Pt	2294	14.9	14.4	1280	13.0	16.9	1247	12.9	16.9	565					570
Concours Ecole Polytechnique	Ecole Polytechnique	403	12.2	11.7	22	0.0	0.0	14	0.0	0.0	11	0.0	0.0	6	6	11
Concours Ens De Cachan	Ens Paris-Saclay	1477	16.3	16.9	377	7.7	19.4	282	9.2	14.9	35	5.7	22.9	193	178	35
Concours Ens De Cachan	Ens Rennes	1433	16.3	17.2	385	7.5	20.0	331	8.2	19.0	7	14.3	14.3	270	247	7
Concours Commun Inp	Bordeaux Inp - Enseirb-Matmeca Electronique										7	0.0	0.0	972	926	4
Concours Commun Inp	Bordeaux Inp - Enseirb-Matmeca Informatique										3	0.0	0.0	729	729	1
Concours Commun Inp	Bordeaux Inp - Enseirb-Matmeca Mathématiques Et Mécanique										7	14.3	14.3	790	761	6
Concours Commun Inp	Bordeaux Inp - Enseirb-Matmeca Télecom.										4	25.0	50.0	959	892	1
Concours Commun Inp	Bordeaux Inp - Enspima										1	0.0	0.0	995	995	1
Concours Commun Inp	Cpe Lyon Sciences Du Numérique										3	33.3	0.0	1238	1163	2
Concours Commun Inp	Cy Tech Cergy - Génie Civil										4	0.0	25.0	1360	1358	5
Concours Commun Inp	Cy Tech Cergy-Pau - Informatique										8	0.0	25.0	1176	1200	5
Concours Commun Inp	Enac Toulouse Civil										2	0.0	0.0	595	595	2
Concours Commun Inp	Engees Strasbourg Civil (Étudiant)										2	0.0	0.0	1056	1056	2
Concours Commun Inp	Ensi Poitiers - Génie De L'Eau Et Génie Civil										3	33.3	0.0	1223	1228	2
Concours Commun Inp	Ensi Poitiers Energie										4	0.0	25.0	1342	1312	6
Concours Commun Inp	Ensicaen Electronique Et Physique Appliquée										3	33.3	33.3	1281	1259	5
Concours Commun Inp	Ensicaen Informatique										5	20.0	40.0	1161	1123	5
Concours Commun Inp	Ensil - Ensci Limoges Céramique Industrielle										1	0.0	0.0	1428	1428	2
