concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
Concours Ecole Polytechnique	Ecole Polytechnique Info.	809	11.6	24.8	212	9.4	16.5	156	10.3	15.4	105	8.6	10.5	81	82	105
Concours Ecole Polytechnique	Ecole Polytechnique P&Si	771	16.0	25.4	176	9.7	14.2	119	9.2	10.9	80	10.0	10.0	46	45	80
Banque Ens	Ens Ulm Mpi	1800	18.6	25.3	145	6.2	23.4	97	7.2	23.7	38	10.5	31.6	35	39	38
Banque Ens	Ens Ulm Info.	327	11.6	28.7	44	6.8	25.0	29	10.3	20.7	13	7.7	7.7	8	9	13
Banque Ens	Ens Paris-Saclay Mp	1874	18.7	24.6	269	8.2	19.3	192	9.9	19.3	13	7.7	30.8	139	140	13
Banque Ens	Ens Paris-Saclay Info.	311	12.2	25.4	106	4.7	20.8	76	2.6	19.7	16	0.0	25.0	41	40	16
Banque Ens	Ens De Lyon Mpi	1902	18.7	25.1	248	7.3	21.0	157	8.3	19.7	25	8.0	32.0	97	101	25
Banque Ens	Ens De Lyon Info.	314	12.1	26.8	108	6.5	22.2	74	5.4	23.0	25	8.0	28.0	44	41	25
Banque Ens	Ens Rennes Mp	1832	19.1	24.9	309	9.1	20.7	255	9.4	20.0	10	10.0	70.0	222	216	10
Banque Ens	Ens Rennes Info.	315	12.1	24.4	103	7.8	25.2	76	3.9	22.4	8	0.0	50.0	55	52	8
Banque Centrale-Supelec	Centralesupélec - Statut Étudiant	3762	20.1	21.3	959	15.3	18.0	921	15.6	18.0	293	16.7	18.1	415	405	273
Banque Centrale-Supelec	Centralesupélec - Statut Étudiant - Étr.	197	23.4	29.9	54	11.1	44.4	51	9.8	45.1	12	8.3	75.0	28	25	12
Banque Centrale-Supelec	Centrale Lyon	4075	22.2	21.3	1100	16.2	19.4	1070	16.4	19.3	131	15.3	23.7	816	783	127
Banque Centrale-Supelec	Institut D'Optique Graduate School (Supoptique)	1643	23.6	24.2	663	21.3	23.5	619	21.3	23.4	25	36.0	40.0	434	419	32
Banque Centrale-Supelec	Institut D'Optique Graduate School (Supoptique) - Étr.	71	36.6	36.6	24	41.7	50.0	21	42.9	42.9	1	0.0	100.0	13	13	2
Banque Centrale-Supelec	Centrale Lille	3761	23.2	22.6	1004	18.7	23.6	972	18.9	23.6	86	15.1	25.6	865	817	90
Banque Centrale-Supelec	Centrale Nantes	3940	22.3	22.1	899	17.2	20.6	879	17.5	20.3	94	18.1	24.5	782	722	115
Banque Centrale-Supelec	Centrale Marseille	3550	24.1	21.8	1247	21.6	21.7	1138	21.5	21.3	87	26.4	21.8	978	946	80
Banque Centrale-Supelec	Centrale Casablanca	641	18.7	23.2	138	10.1	24.6	118	11.9	21.2	0	0.0	0.0	0	0	8
Banque Centrale-Supelec	Centralesupélec - Statut Étudiant - Ci										24	25.0	12.5	29	26	12
Banque Centrale-Supelec	Centrale Lyon - Ci										7	28.6	14.3	51	51	8
Banque Centrale-Supelec	Centrale Lille - Ci										5	40.0	0.0	69	69	6
Banque Centrale-Supelec	Centrale Nantes - Ci										10	10.0	10.0	61	60	3
Banque Centrale-Supelec	Institut D'Optique Graduate School (Supoptique) - Ci										14	28.6	7.1	167	166	3
Banque Centrale-Supelec	Centrale Marseille - Ci										2	0.0	50.0	80	80	2
Banque Centrale-Supelec	Concours_Cycle_International_Centrale_Supelec_Mp	672	31.7	10.4	238	21.8	8.4	217	23.0	8.3	62					34
Banque Centrale-Supelec	Centrale Casablanca - Ci	672	31.7	10.4	238	21.8	8.4	143	24.5	9.1	3	66.7	0.0	121	122	30
Banque Centrale-Supelec	Arts Et Métiers	2545	23.7	22.4	1000	21.9	28.9	853	23.1	29.8	39	38.5	56.4	571	539	40
Banque Centrale-Supelec	Ensea Cergy	2545	23.7	22.4	1810	22.6	24.9	1325	22.6	26.8	48	18.8	35.4	1182	1163	60
Banque Centrale-Supelec	Epf Campus Troyes										1	0.0	0.0	355	355	5
Banque Centrale-Supelec	Epf Campus Montpellier										5	20.0	0.0	394	395	5
Banque Centrale-Supelec	Epf Campus Sceaux										10	30.0	20.0	362	334	5
Banque Centrale-Supelec	Concours_Epf_Sceaux_Troyes_Montpellier_Mp	692	31.5	18.4	545	31.2	20.6	413	32.9	21.5	16					15
Banque Centrale-Supelec	Estp Paris - Travaux Publics (Tp) - Campus De Cachan										38	23.7	13.2	478	472	64
Banque Centrale-Supelec	Estp Paris - Bâtiment (B) - Campus De Cachan										49	42.9	20.4	479	464	62
Banque Centrale-Supelec	Estp Paris - Génie Mécanique Et Electrique(Gme)										7	42.9	0.0	465	466	16
Banque Centrale-Supelec	Estp Paris - Topographie (T)										2	0.0	50.0	493	493	8
